Local time,Open,High,Low,Close,Volume
01.06.2021 09:30:00.000 GMT-0400,125.133,125.134,125.074,125.134,194999.99599999996
01.06.2021 09:30:01.000 GMT-0400,125.134,125.203,125.133,125.203,107499.9978
01.06.2021 09:30:02.000 GMT-0400,125.164,125.174,125.154,125.174,142499.997
01.06.2021 09:30:03.000 GMT-0400,125.164,125.194,125.154,125.194,159999.9968
01.06.2021 09:30:04.000 GMT-0400,125.194,125.254,125.184,125.254,147499.997
01.06.2021 09:30:05.000 GMT-0400,125.234,125.254,125.224,125.234,147499.997
01.06.2021 09:30:06.000 GMT-0400,125.253,125.304,125.253,125.303,159999.9968
01.06.2021 09:30:07.000 GMT-0400,125.303,125.304,125.293,125.293,167499.99659999998
01.06.2021 09:30:08.000 GMT-0400,125.304,125.314,125.303,125.314,127499.99740000001
01.06.2021 09:30:09.000 GMT-0400,125.314,125.323,125.313,125.323,187499.99619999997
01.06.2021 09:30:10.000 GMT-0400,125.334,125.354,125.314,125.354,187499.99619999997
01.06.2021 09:30:11.000 GMT-0400,125.333,125.363,125.333,125.333,227499.99539999993
01.06.2021 09:30:12.000 GMT-0400,125.344,125.354,125.343,125.343,179999.99639999997
01.06.2021 09:30:13.000 GMT-0400,125.354,125.364,125.313,125.313,167499.99659999998
01.06.2021 09:30:14.000 GMT-0400,125.323,125.323,125.303,125.313,167499.99659999998
01.06.2021 09:30:15.000 GMT-0400,125.304,125.304,125.263,125.263,194999.99599999996
01.06.2021 09:30:16.000 GMT-0400,125.263,125.294,125.253,125.294,214999.99559999994
01.06.2021 09:30:17.000 GMT-0400,125.294,125.313,125.294,125.303,147499.997
01.06.2021 09:30:18.000 GMT-0400,125.303,125.304,125.273,125.273,199999.99599999996
01.06.2021 09:30:19.000 GMT-0400,125.284,125.293,125.263,125.263,127499.99739999998
01.06.2021 09:30:20.000 GMT-0400,125.274,125.283,125.263,125.274,94999.99799999999
01.06.2021 09:30:21.000 GMT-0400,125.274,125.304,125.263,125.263,147499.997
01.06.2021 09:30:22.000 GMT-0400,125.273,125.303,125.253,125.253,122499.99740000001
01.06.2021 09:30:23.000 GMT-0400,125.254,125.254,125.233,125.254,174999.99639999997
01.06.2021 09:30:24.000 GMT-0400,125.243,125.253,125.234,125.234,77499.9984
01.06.2021 09:30:25.000 GMT-0400,125.213,125.214,125.204,125.204,29999.999399999997
01.06.2021 09:30:26.000 GMT-0400,125.204,125.244,125.193,125.244,69999.9986
01.06.2021 09:30:27.000 GMT-0400,125.233,125.244,125.224,125.233,69999.9986
01.06.2021 09:30:28.000 GMT-0400,125.224,125.224,125.223,125.223,79999.9984
01.06.2021 09:30:29.000 GMT-0400,125.234,125.244,125.223,125.223,159999.9968
01.06.2021 09:30:30.000 GMT-0400,125.224,125.244,125.174,125.174,174999.99639999997
01.06.2021 09:30:31.000 GMT-0400,125.174,125.174,125.153,125.163,87499.9982
01.06.2021 09:30:32.000 GMT-0400,125.173,125.184,125.173,125.174,114999.9976
01.06.2021 09:30:33.000 GMT-0400,125.183,125.183,125.153,125.153,107499.9978
01.06.2021 09:30:34.000 GMT-0400,125.134,125.154,125.134,125.154,107499.9978
01.06.2021 09:30:35.000 GMT-0400,125.154,125.174,125.153,125.153,147499.997
01.06.2021 09:30:36.000 GMT-0400,125.153,125.154,125.133,125.144,159999.9968
01.06.2021 09:30:37.000 GMT-0400,125.143,125.163,125.133,125.144,187499.99619999997
01.06.2021 09:30:38.000 GMT-0400,125.134,125.134,125.133,125.134,59999.998799999994
01.06.2021 09:30:39.000 GMT-0400,125.134,125.134,125.134,125.134,39999.9992
01.06.2021 09:30:40.000 GMT-0400,125.134,125.134,125.134,125.134,59999.998799999994
01.06.2021 09:30:41.000 GMT-0400,125.134,125.134,125.094,125.094,74999.9984
01.06.2021 09:30:42.000 GMT-0400,125.083,125.094,125.073,125.083,154999.9968
01.06.2021 09:30:43.000 GMT-0400,125.094,125.113,125.073,125.113,139999.9972
01.06.2021 09:30:44.000 GMT-0400,125.124,125.124,125.103,125.103,159999.9968
01.06.2021 09:30:45.000 GMT-0400,125.103,125.113,125.084,125.084,127499.99740000001
01.06.2021 09:30:46.000 GMT-0400,125.093,125.094,125.073,125.073,139999.9972
01.06.2021 09:30:47.000 GMT-0400,125.094,125.144,125.094,125.144,167499.99659999998
01.06.2021 09:30:48.000 GMT-0400,125.123,125.154,125.123,125.153,127499.99740000001
01.06.2021 09:30:49.000 GMT-0400,125.174,125.174,125.133,125.133,107499.9978
01.06.2021 09:30:50.000 GMT-0400,125.143,125.144,125.124,125.144,139999.9972
01.06.2021 09:30:51.000 GMT-0400,125.133,125.133,125.123,125.133,67499.9986
01.06.2021 09:30:52.000 GMT-0400,125.124,125.134,125.114,125.124,167499.99659999998
01.06.2021 09:30:53.000 GMT-0400,125.124,125.203,125.124,125.194,179999.99639999997
01.06.2021 09:30:54.000 GMT-0400,125.213,125.214,125.203,125.214,179999.99639999997
01.06.2021 09:30:55.000 GMT-0400,125.193,125.214,125.193,125.204,79999.9984
01.06.2021 09:30:56.000 GMT-0400,125.194,125.223,125.194,125.214,127499.99739999998
01.06.2021 09:30:57.000 GMT-0400,125.233,125.243,125.223,125.243,179999.99639999997
01.06.2021 09:30:58.000 GMT-0400,125.253,125.313,125.253,125.304,227499.99539999993
01.06.2021 09:30:59.000 GMT-0400,125.294,125.304,125.293,125.293,87499.9982
01.06.2021 09:31:00.000 GMT-0400,125.293,125.293,125.274,125.274,127499.99740000001
01.06.2021 09:31:01.000 GMT-0400,125.263,125.294,125.254,125.293,179999.99639999997
01.06.2021 09:31:02.000 GMT-0400,125.284,125.293,125.283,125.293,59999.998799999994
01.06.2021 09:31:03.000 GMT-0400,125.293,125.293,125.283,125.283,67499.9986
01.06.2021 09:31:04.000 GMT-0400,125.293,125.293,125.263,125.263,119999.99759999999
01.06.2021 09:31:05.000 GMT-0400,125.253,125.264,125.233,125.233,199999.99599999996
01.06.2021 09:31:06.000 GMT-0400,125.233,125.233,125.213,125.233,87499.9982
01.06.2021 09:31:07.000 GMT-0400,125.233,125.244,125.233,125.244,79999.9984
01.06.2021 09:31:08.000 GMT-0400,125.244,125.254,125.244,125.254,67499.9986
01.06.2021 09:31:09.000 GMT-0400,125.254,125.254,125.243,125.254,107499.9978
01.06.2021 09:31:10.000 GMT-0400,125.243,125.244,125.213,125.213,107499.9978
01.06.2021 09:31:11.000 GMT-0400,125.203,125.224,125.193,125.224,167499.99659999998
01.06.2021 09:31:12.000 GMT-0400,125.224,125.253,125.223,125.253,79999.9984
01.06.2021 09:31:13.000 GMT-0400,125.254,125.274,125.253,125.264,107499.9978
01.06.2021 09:31:14.000 GMT-0400,125.243,125.243,125.234,125.234,79999.9984
01.06.2021 09:31:15.000 GMT-0400,125.234,125.263,125.234,125.263,127499.99740000001
01.06.2021 09:31:16.000 GMT-0400,125.253,125.263,125.244,125.244,87499.9982
01.06.2021 09:31:17.000 GMT-0400,125.243,125.264,125.243,125.264,79999.9984
01.06.2021 09:31:18.000 GMT-0400,125.263,125.264,125.263,125.263,159999.9968
01.06.2021 09:31:19.000 GMT-0400,125.274,125.314,125.274,125.284,107499.9978
01.06.2021 09:31:20.000 GMT-0400,125.283,125.314,125.283,125.314,134999.9972
01.06.2021 09:31:21.000 GMT-0400,125.293,125.343,125.293,125.334,167499.99659999998
01.06.2021 09:31:22.000 GMT-0400,125.333,125.343,125.333,125.343,99999.99799999999
01.06.2021 09:31:23.000 GMT-0400,125.344,125.344,125.333,125.334,139999.9972
01.06.2021 09:31:24.000 GMT-0400,125.324,125.324,125.293,125.303,87499.9982
01.06.2021 09:31:25.000 GMT-0400,125.304,125.314,125.294,125.313,99999.99799999999
01.06.2021 09:31:26.000 GMT-0400,125.324,125.324,125.303,125.304,94999.998
01.06.2021 09:31:27.000 GMT-0400,125.303,125.314,125.303,125.314,99999.99799999999
01.06.2021 09:31:28.000 GMT-0400,125.304,125.314,125.304,125.313,119999.99759999999
01.06.2021 09:31:29.000 GMT-0400,125.303,125.303,125.284,125.293,87499.9982
01.06.2021 09:31:30.000 GMT-0400,125.293,125.294,125.283,125.283,159999.9968
01.06.2021 09:31:31.000 GMT-0400,125.294,125.313,125.293,125.304,119999.99759999999
01.06.2021 09:31:32.000 GMT-0400,125.314,125.324,125.294,125.324,179999.99639999997
01.06.2021 09:31:33.000 GMT-0400,125.314,125.314,125.264,125.264,127499.99740000001
01.06.2021 09:31:34.000 GMT-0400,125.263,125.264,125.263,125.264,99999.99799999999
01.06.2021 09:31:35.000 GMT-0400,125.244,125.254,125.243,125.244,109999.9978
01.06.2021 09:31:36.000 GMT-0400,125.254,125.254,125.244,125.244,39999.9992
01.06.2021 09:31:37.000 GMT-0400,125.254,125.254,125.214,125.214,49999.998999999996
01.06.2021 09:31:38.000 GMT-0400,125.214,125.224,125.213,125.224,57499.998799999994
01.06.2021 09:31:39.000 GMT-0400,125.214,125.223,125.213,125.213,99999.99799999999
01.06.2021 09:31:40.000 GMT-0400,125.214,125.233,125.213,125.214,127499.99740000001
01.06.2021 09:31:41.000 GMT-0400,125.224,125.234,125.193,125.193,127499.99740000001
01.06.2021 09:31:42.000 GMT-0400,125.193,125.223,125.193,125.213,159999.9968
01.06.2021 09:31:43.000 GMT-0400,125.214,125.223,125.203,125.204,94999.99799999999
01.06.2021 09:31:44.000 GMT-0400,125.224,125.224,125.194,125.204,114999.9976
01.06.2021 09:31:45.000 GMT-0400,125.214,125.214,125.203,125.203,107499.9978
01.06.2021 09:31:46.000 GMT-0400,125.204,125.223,125.203,125.213,147499.997
01.06.2021 09:31:47.000 GMT-0400,125.213,125.234,125.213,125.233,159999.9968
01.06.2021 09:31:48.000 GMT-0400,125.233,125.234,125.213,125.223,167499.99659999998
01.06.2021 09:31:49.000 GMT-0400,125.224,125.224,125.203,125.224,139999.9972
01.06.2021 09:31:50.000 GMT-0400,125.223,125.223,125.203,125.203,79999.9984
01.06.2021 09:31:51.000 GMT-0400,125.193,125.214,125.193,125.203,67499.9986
01.06.2021 09:31:52.000 GMT-0400,125.214,125.214,125.213,125.213,39999.9992
01.06.2021 09:31:53.000 GMT-0400,125.214,125.214,125.194,125.194,139999.9972
01.06.2021 09:31:54.000 GMT-0400,125.204,125.204,125.204,125.204,19999.9996
01.06.2021 09:31:55.000 GMT-0400,125.213,125.214,125.194,125.204,147499.997
01.06.2021 09:31:56.000 GMT-0400,125.194,125.213,125.193,125.193,34999.9992
01.06.2021 09:31:57.000 GMT-0400,125.213,125.213,125.193,125.193,87499.9982
01.06.2021 09:31:58.000 GMT-0400,125.193,125.204,125.193,125.204,39999.9992
01.06.2021 09:31:59.000 GMT-0400,125.204,125.204,125.193,125.193,59999.998799999994
01.06.2021 09:32:00.000 GMT-0400,125.193,125.203,125.193,125.203,39999.9992
01.06.2021 09:32:01.000 GMT-0400,125.214,125.214,125.203,125.214,99999.99799999999
01.06.2021 09:32:02.000 GMT-0400,125.213,125.213,125.194,125.194,47499.998999999996
01.06.2021 09:32:03.000 GMT-0400,125.204,125.204,125.193,125.204,87499.9982
01.06.2021 09:32:04.000 GMT-0400,125.194,125.194,125.174,125.174,134999.9972
01.06.2021 09:32:05.000 GMT-0400,125.163,125.164,125.153,125.154,167499.99659999998
01.06.2021 09:32:06.000 GMT-0400,125.153,125.163,125.143,125.154,159999.9968
01.06.2021 09:32:07.000 GMT-0400,125.164,125.173,125.153,125.154,107499.9978
01.06.2021 09:32:08.000 GMT-0400,125.174,125.174,125.153,125.153,59999.998799999994
01.06.2021 09:32:09.000 GMT-0400,125.144,125.144,125.123,125.123,74999.9984
01.06.2021 09:32:10.000 GMT-0400,125.113,125.113,125.093,125.094,139999.9972
01.06.2021 09:32:11.000 GMT-0400,125.084,125.104,125.084,125.094,127499.99740000001
01.06.2021 09:32:12.000 GMT-0400,125.084,125.093,125.073,125.084,107499.9978
01.06.2021 09:32:13.000 GMT-0400,125.074,125.104,125.073,125.104,74999.9984
01.06.2021 09:32:14.000 GMT-0400,125.094,125.104,125.093,125.094,79999.9984
01.06.2021 09:32:15.000 GMT-0400,125.094,125.094,125.093,125.093,39999.9992
01.06.2021 09:32:16.000 GMT-0400,125.083,125.084,125.083,125.084,67499.9986
01.06.2021 09:32:17.000 GMT-0400,125.084,125.084,125.074,125.074,99999.99799999999
01.06.2021 09:32:18.000 GMT-0400,125.073,125.134,125.073,125.134,79999.9984
01.06.2021 09:32:19.000 GMT-0400,125.124,125.124,125.103,125.103,147499.997
01.06.2021 09:32:20.000 GMT-0400,125.104,125.104,125.083,125.094,119999.99759999999
01.06.2021 09:32:21.000 GMT-0400,125.104,125.104,125.083,125.084,119999.99759999999
01.06.2021 09:32:22.000 GMT-0400,125.073,125.074,125.064,125.074,47499.999
01.06.2021 09:32:23.000 GMT-0400,125.074,125.074,125.073,125.073,39999.9992
01.06.2021 09:32:24.000 GMT-0400,125.074,125.074,125.074,125.074,39999.9992
01.06.2021 09:32:25.000 GMT-0400,125.064,125.064,125.063,125.063,59999.998799999994
01.06.2021 09:32:26.000 GMT-0400,125.053,125.054,125.043,125.043,139999.9972
01.06.2021 09:32:27.000 GMT-0400,125.044,125.044,125.033,125.033,119999.99759999999
01.06.2021 09:32:28.000 GMT-0400,125.024,125.044,125.023,125.033,159999.9968
01.06.2021 09:32:29.000 GMT-0400,125.033,125.034,125.023,125.033,167499.99659999998
01.06.2021 09:32:30.000 GMT-0400,125.023,125.034,125.023,125.023,119999.99759999999
01.06.2021 09:32:31.000 GMT-0400,125.033,125.034,125.033,125.034,59999.998799999994
01.06.2021 09:32:33.000 GMT-0400,125.024,125.044,125.023,125.024,119999.99759999999
01.06.2021 09:32:34.000 GMT-0400,125.034,125.043,125.023,125.023,139999.9972
01.06.2021 09:32:35.000 GMT-0400,125.034,125.034,125.024,125.024,39999.9992
01.06.2021 09:32:36.000 GMT-0400,125.023,125.024,125.023,125.023,99999.99799999999
01.06.2021 09:32:37.000 GMT-0400,125.014,125.014,125.014,125.014,19999.9996
01.06.2021 09:32:38.000 GMT-0400,125.014,125.014,125.003,125.003,79999.9984
01.06.2021 09:32:39.000 GMT-0400,125.014,125.033,125.014,125.024,119999.99759999999
01.06.2021 09:32:40.000 GMT-0400,125.024,125.024,125.013,125.013,79999.9984
01.06.2021 09:32:41.000 GMT-0400,125.004,125.014,125.003,125.013,114999.9976
01.06.2021 09:32:42.000 GMT-0400,125.004,125.014,124.984,125.003,74999.9984
01.06.2021 09:32:43.000 GMT-0400,125.004,125.013,125.003,125.013,99999.99799999999
01.06.2021 09:32:44.000 GMT-0400,125.023,125.034,125.023,125.034,39999.9992
01.06.2021 09:32:45.000 GMT-0400,125.053,125.063,125.043,125.063,79999.9984
01.06.2021 09:32:46.000 GMT-0400,125.054,125.074,125.054,125.073,87499.9982
01.06.2021 09:32:47.000 GMT-0400,125.103,125.103,125.064,125.064,67499.9986
01.06.2021 09:32:48.000 GMT-0400,125.073,125.073,125.063,125.064,79999.9984
01.06.2021 09:32:49.000 GMT-0400,125.054,125.054,125.024,125.033,127499.99740000001
01.06.2021 09:32:50.000 GMT-0400,125.003,125.003,124.973,124.973,79999.9984
01.06.2021 09:32:51.000 GMT-0400,124.963,124.964,124.963,124.964,27499.9994
01.06.2021 09:32:52.000 GMT-0400,124.973,124.973,124.973,124.973,19999.9996
01.06.2021 09:32:53.000 GMT-0400,124.973,124.983,124.973,124.983,79999.9984
01.06.2021 09:32:54.000 GMT-0400,124.973,124.973,124.973,124.973,39999.9992
01.06.2021 09:32:55.000 GMT-0400,124.963,124.984,124.963,124.984,94999.99799999999
01.06.2021 09:32:56.000 GMT-0400,124.974,124.974,124.964,124.973,79999.9984
01.06.2021 09:32:57.000 GMT-0400,124.964,124.973,124.964,124.973,79999.9984
01.06.2021 09:32:58.000 GMT-0400,124.964,124.993,124.964,124.993,94999.99799999999
01.06.2021 09:32:59.000 GMT-0400,124.984,124.994,124.984,124.994,59999.998799999994
01.06.2021 09:33:00.000 GMT-0400,124.983,124.983,124.964,124.964,67499.9986
01.06.2021 09:33:01.000 GMT-0400,124.954,124.973,124.954,124.973,59999.998799999994
01.06.2021 09:33:02.000 GMT-0400,124.953,124.964,124.953,124.954,59999.998799999994
01.06.2021 09:33:03.000 GMT-0400,124.903,124.934,124.903,124.914,107499.9978
01.06.2021 09:33:04.000 GMT-0400,124.923,124.923,124.893,124.894,127499.99740000001
01.06.2021 09:33:05.000 GMT-0400,124.894,124.913,124.894,124.913,99999.99799999999
01.06.2021 09:33:06.000 GMT-0400,124.904,124.913,124.904,124.904,99999.99799999999
01.06.2021 09:33:07.000 GMT-0400,124.903,124.914,124.893,124.893,174999.99639999997
01.06.2021 09:33:08.000 GMT-0400,124.884,124.884,124.884,124.884,19999.9996
01.06.2021 09:33:09.000 GMT-0400,124.884,124.944,124.884,124.944,147499.997
01.06.2021 09:33:10.000 GMT-0400,124.943,124.943,124.933,124.943,127499.99740000001
01.06.2021 09:33:11.000 GMT-0400,124.934,124.934,124.903,124.903,99999.99799999999
01.06.2021 09:33:12.000 GMT-0400,124.913,124.934,124.913,124.934,119999.99759999999
01.06.2021 09:33:13.000 GMT-0400,124.923,124.943,124.923,124.923,79999.9984
01.06.2021 09:33:14.000 GMT-0400,124.933,124.944,124.933,124.944,67499.9986
01.06.2021 09:33:15.000 GMT-0400,124.933,124.944,124.933,124.944,39999.9992
01.06.2021 09:33:16.000 GMT-0400,124.944,124.963,124.943,124.944,147499.997
