Local time,Open,High,Low,Close,Volume
24.05.2021 09:30:00.000 GMT-0400,125.986,126.067,125.896,126.066,240224.9951999999
24.05.2021 09:30:01.000 GMT-0400,126.076,126.116,126.067,126.097,140534.99719999998
24.05.2021 09:30:02.000 GMT-0400,126.076,126.116,126.076,126.116,99999.99799999999
24.05.2021 09:30:03.000 GMT-0400,126.096,126.116,126.096,126.097,119999.99759999999
24.05.2021 09:30:04.000 GMT-0400,126.097,126.147,126.097,126.147,79999.9984
24.05.2021 09:30:05.000 GMT-0400,126.137,126.156,126.057,126.057,199999.99599999996
24.05.2021 09:30:06.000 GMT-0400,126.057,126.066,126.027,126.027,120074.9976
24.05.2021 09:30:07.000 GMT-0400,126.026,126.037,126.016,126.037,179999.99639999997
24.05.2021 09:30:08.000 GMT-0400,126.016,126.097,126.016,126.097,140074.99719999998
24.05.2021 09:30:09.000 GMT-0400,126.106,126.107,126.106,126.106,80459.9984
24.05.2021 09:30:10.000 GMT-0400,126.097,126.097,126.057,126.057,100074.99799999998
24.05.2021 09:30:11.000 GMT-0400,126.047,126.076,126.037,126.056,80994.9984
24.05.2021 09:30:12.000 GMT-0400,126.037,126.037,125.996,126.007,159999.9968
24.05.2021 09:30:13.000 GMT-0400,126.007,126.007,125.997,125.997,59999.998799999994
24.05.2021 09:30:14.000 GMT-0400,126.006,126.007,125.996,125.996,60919.998799999994
24.05.2021 09:30:16.000 GMT-0400,125.977,125.977,125.976,125.976,59999.998799999994
24.05.2021 09:30:17.000 GMT-0400,125.977,125.977,125.956,125.967,100074.99799999998
24.05.2021 09:30:18.000 GMT-0400,125.986,125.997,125.986,125.996,40149.99919999999
24.05.2021 09:30:20.000 GMT-0400,126.006,126.117,126.006,126.116,160149.99679999996
24.05.2021 09:30:21.000 GMT-0400,126.127,126.127,126.116,126.126,80459.9984
24.05.2021 09:30:22.000 GMT-0400,126.137,126.137,126.137,126.137,19999.9996
24.05.2021 09:30:23.000 GMT-0400,126.166,126.166,126.126,126.146,79999.9984
24.05.2021 09:30:24.000 GMT-0400,126.157,126.157,126.126,126.127,120919.9976
24.05.2021 09:30:25.000 GMT-0400,126.136,126.157,126.136,126.146,159999.9968
24.05.2021 09:30:26.000 GMT-0400,126.147,126.166,126.147,126.166,59999.998799999994
24.05.2021 09:30:27.000 GMT-0400,126.166,126.167,126.166,126.167,79999.9984
24.05.2021 09:30:28.000 GMT-0400,126.166,126.167,126.137,126.137,179999.99639999997
24.05.2021 09:30:29.000 GMT-0400,126.146,126.166,126.136,126.166,100074.99799999999
24.05.2021 09:30:30.000 GMT-0400,126.136,126.147,126.126,126.147,180459.99639999997
24.05.2021 09:30:31.000 GMT-0400,126.167,126.167,126.166,126.166,119999.99759999999
24.05.2021 09:30:32.000 GMT-0400,126.166,126.166,126.156,126.157,119999.99759999999
24.05.2021 09:30:33.000 GMT-0400,126.147,126.156,126.127,126.146,180459.99639999997
24.05.2021 09:30:34.000 GMT-0400,126.157,126.166,126.146,126.166,100074.99799999998
24.05.2021 09:30:35.000 GMT-0400,126.177,126.197,126.166,126.197,139999.9972
24.05.2021 09:30:36.000 GMT-0400,126.186,126.187,126.157,126.157,79999.9984
24.05.2021 09:30:37.000 GMT-0400,126.167,126.186,126.166,126.186,139999.9972
24.05.2021 09:30:38.000 GMT-0400,126.197,126.207,126.186,126.186,120919.9976
24.05.2021 09:30:39.000 GMT-0400,126.187,126.187,126.176,126.186,139999.9972
24.05.2021 09:30:40.000 GMT-0400,126.186,126.197,126.186,126.197,140074.99719999998
24.05.2021 09:30:41.000 GMT-0400,126.197,126.197,126.156,126.156,179999.99639999997
24.05.2021 09:30:42.000 GMT-0400,126.166,126.166,126.097,126.097,120459.99759999999
24.05.2021 09:30:43.000 GMT-0400,126.107,126.107,126.056,126.087,179999.99639999997
24.05.2021 09:30:44.000 GMT-0400,126.096,126.107,126.086,126.086,60534.998799999994
24.05.2021 09:30:45.000 GMT-0400,126.097,126.097,126.097,126.097,460
