Local time,Open,High,Low,Close,Volume
07.06.2021 09:30:00.000 GMT-0400,126.253,126.264,126.204,126.204,159999.9968
07.06.2021 09:30:01.000 GMT-0400,126.203,126.203,126.134,126.134,239999.99519999992
07.06.2021 09:30:02.000 GMT-0400,126.103,126.103,126.074,126.074,119999.99759999999
07.06.2021 09:30:03.000 GMT-0400,126.063,126.123,126.063,126.123,214999.99559999994
07.06.2021 09:30:04.000 GMT-0400,126.123,126.124,126.123,126.124,39999.9992
07.06.2021 09:30:05.000 GMT-0400,126.124,126.124,126.074,126.074,182499.99619999997
07.06.2021 09:30:06.000 GMT-0400,126.063,126.084,126.063,126.084,154999.9968
07.06.2021 09:30:07.000 GMT-0400,126.073,126.104,126.073,126.104,234999.99519999992
07.06.2021 09:30:08.000 GMT-0400,126.104,126.104,126.065,126.073,114999.9976
07.06.2021 09:30:09.000 GMT-0400,126.083,126.124,126.083,126.104,107499.9978
07.06.2021 09:30:10.000 GMT-0400,126.124,126.134,126.114,126.134,167499.99659999998
07.06.2021 09:30:11.000 GMT-0400,126.134,126.134,126.133,126.133,99999.99799999999
07.06.2021 09:30:12.000 GMT-0400,126.123,126.123,126.093,126.093,82499.99819999999
07.06.2021 09:30:13.000 GMT-0400,126.093,126.094,126.074,126.074,99999.99799999999
07.06.2021 09:30:14.000 GMT-0400,126.074,126.094,126.073,126.094,94999.99799999999
07.06.2021 09:30:15.000 GMT-0400,126.093,126.094,126.093,126.094,39999.9992
07.06.2021 09:30:16.000 GMT-0400,126.094,126.094,126.064,126.064,87499.9982
07.06.2021 09:30:17.000 GMT-0400,126.073,126.074,126.073,126.074,79999.9984
07.06.2021 09:30:18.000 GMT-0400,126.073,126.074,126.073,126.073,59999.998799999994
07.06.2021 09:30:19.000 GMT-0400,126.073,126.074,126.063,126.074,119999.99759999999
07.06.2021 09:30:20.000 GMT-0400,126.074,126.123,126.074,126.114,139999.9972
07.06.2021 09:30:21.000 GMT-0400,126.094,126.094,126.064,126.073,239999.99519999992
07.06.2021 09:30:22.000 GMT-0400,126.074,126.114,126.074,126.104,107499.9978
07.06.2021 09:30:23.000 GMT-0400,126.103,126.104,126.063,126.084,199999.99599999996
07.06.2021 09:30:24.000 GMT-0400,126.064,126.073,126.044,126.053,159999.9968
07.06.2021 09:30:25.000 GMT-0400,126.043,126.044,126.023,126.043,142499.997
07.06.2021 09:30:26.000 GMT-0400,126.043,126.054,126.023,126.043,139999.9972
07.06.2021 09:30:27.000 GMT-0400,126.063,126.093,126.043,126.093,139999.9972
07.06.2021 09:30:28.000 GMT-0400,126.104,126.104,126.043,126.044,159999.9968
07.06.2021 09:30:29.000 GMT-0400,126.043,126.074,126.033,126.063,114999.99759999999
07.06.2021 09:30:30.000 GMT-0400,126.054,126.093,126.054,126.093,39999.9992
07.06.2021 09:30:31.000 GMT-0400,126.084,126.084,126.063,126.073,119999.99759999999
07.06.2021 09:30:32.000 GMT-0400,126.063,126.094,126.053,126.094,67499.9986
07.06.2021 09:30:33.000 GMT-0400,126.094,126.094,126.073,126.073,107499.9978
07.06.2021 09:30:34.000 GMT-0400,126.063,126.063,126.034,126.034,59999.998799999994
07.06.2021 09:30:35.000 GMT-0400,126.023,126.034,126.013,126.023,199999.99599999996
07.06.2021 09:30:36.000 GMT-0400,126.013,126.044,126.013,126.033,134999.9972
07.06.2021 09:30:37.000 GMT-0400,126.013,126.034,126.013,126.034,207499.99579999995
07.06.2021 09:30:38.000 GMT-0400,126.034,126.043,126.014,126.034,187499.99619999997
07.06.2021 09:30:39.000 GMT-0400,126.034,126.034,126.023,126.034,99999.99799999999
07.06.2021 09:30:40.000 GMT-0400,126.034,126.034,126.013,126.033,107499.9978
07.06.2021 09:30:41.000 GMT-0400,126.023,126.034,125.984,125.993,139999.9972
07.06.2021 09:30:42.000 GMT-0400,125.984,126.003,125.963,126.003,207499.99579999995
07.06.2021 09:30:43.000 GMT-0400,125.994,125.994,125.963,125.974,179999.99639999997
07.06.2021 09:30:44.000 GMT-0400,125.974,125.994,125.963,125.984,174999.99639999997
07.06.2021 09:30:45.000 GMT-0400,125.983,126.174,125.983,126.174,139999.9972
07.06.2021 09:30:46.000 GMT-0400,126.153,126.174,126.144,126.153,187499.99619999997
07.06.2021 09:30:47.000 GMT-0400,126.154,126.174,126.154,126.174,139999.9972
07.06.2021 09:30:48.000 GMT-0400,126.193,126.193,126.183,126.193,59999.998799999994
07.06.2021 09:30:49.000 GMT-0400,126.183,126.234,126.183,126.234,154999.9968
07.06.2021 09:30:50.000 GMT-0400,126.223,126.253,126.213,126.243,234999.99519999992
07.06.2021 09:30:51.000 GMT-0400,126.233,126.254,126.233,126.233,114999.9976
07.06.2021 09:30:52.000 GMT-0400,126.234,126.234,126.214,126.233,59999.998799999994
07.06.2021 09:30:53.000 GMT-0400,126.233,126.264,126.233,126.264,147499.997
07.06.2021 09:30:54.000 GMT-0400,126.264,126.264,126.244,126.244,119999.99759999999
07.06.2021 09:30:55.000 GMT-0400,126.244,126.253,126.233,126.253,79999.9984
07.06.2021 09:30:56.000 GMT-0400,126.234,126.244,126.224,126.244,147499.997
07.06.2021 09:30:57.000 GMT-0400,126.244,126.254,126.233,126.254,114999.9976
07.06.2021 09:30:58.000 GMT-0400,126.254,126.283,126.243,126.283,247499.9949999999
07.06.2021 09:30:59.000 GMT-0400,126.294,126.304,126.293,126.304,179999.99639999997
07.06.2021 09:31:00.000 GMT-0400,126.293,126.304,126.274,126.284,187499.99619999997
07.06.2021 09:31:01.000 GMT-0400,126.263,126.264,126.244,126.264,202499.99579999995
07.06.2021 09:31:02.000 GMT-0400,126.253,126.254,126.243,126.243,107499.9978
07.06.2021 09:31:03.000 GMT-0400,126.224,126.224,126.193,126.213,147499.997
07.06.2021 09:31:04.000 GMT-0400,126.204,126.213,126.193,126.203,139999.9972
07.06.2021 09:31:05.000 GMT-0400,126.204,126.224,126.193,126.223,127499.99740000001
07.06.2021 09:31:06.000 GMT-0400,126.204,126.213,126.204,126.213,107499.9978
