Local time,Open,High,Low,Close,Volume
14.05.2021 09:30:00.000 GMT-0400,126.364,126.364,126.254,126.333,267499.9945999999
14.05.2021 09:30:01.000 GMT-0400,126.363,126.504,126.343,126.433,219999.99559999994
14.05.2021 09:30:02.000 GMT-0400,126.384,126.433,126.383,126.384,247499.9949999999
14.05.2021 09:30:03.000 GMT-0400,126.384,126.384,126.363,126.363,159999.9968
14.05.2021 09:30:04.000 GMT-0400,126.364,126.373,126.313,126.324,179999.99639999997
14.05.2021 09:30:05.000 GMT-0400,126.334,126.334,126.303,126.323,154999.9968
14.05.2021 09:30:06.000 GMT-0400,126.323,126.343,126.323,126.334,147499.997
14.05.2021 09:30:07.000 GMT-0400,126.313,126.363,126.313,126.343,227499.99539999993
14.05.2021 09:30:08.000 GMT-0400,126.364,126.383,126.353,126.383,207499.99579999995
14.05.2021 09:30:09.000 GMT-0400,126.383,126.404,126.383,126.404,39999.9992
14.05.2021 09:30:10.000 GMT-0400,126.404,126.414,126.363,126.383,159999.9968
14.05.2021 09:30:11.000 GMT-0400,126.384,126.384,126.333,126.333,147499.997
14.05.2021 09:30:12.000 GMT-0400,126.323,126.374,126.323,126.353,247499.9949999999
14.05.2021 09:30:13.000 GMT-0400,126.364,126.383,126.324,126.333,207499.99579999995
14.05.2021 09:30:14.000 GMT-0400,126.353,126.354,126.343,126.343,167499.99659999998
14.05.2021 09:30:15.000 GMT-0400,126.353,126.384,126.343,126.373,259999.9947999999
14.05.2021 09:30:16.000 GMT-0400,126.384,126.414,126.383,126.403,127499.99740000001
14.05.2021 09:30:17.000 GMT-0400,126.413,126.413,126.353,126.364,134999.9972
14.05.2021 09:30:18.000 GMT-0400,126.373,126.393,126.373,126.393,54999.9988
14.05.2021 09:30:19.000 GMT-0400,126.393,126.434,126.393,126.413,127499.99739999998
14.05.2021 09:30:20.000 GMT-0400,126.433,126.443,126.433,126.434,119999.99759999999
14.05.2021 09:30:21.000 GMT-0400,126.433,126.455,126.433,126.455,82499.99819999999
14.05.2021 09:30:22.000 GMT-0400,126.473,126.493,126.473,126.493,147499.997
14.05.2021 09:30:23.000 GMT-0400,126.483,126.493,126.464,126.484,147499.997
14.05.2021 09:30:24.000 GMT-0400,126.484,126.504,126.474,126.493,179999.99639999997
14.05.2021 09:30:25.000 GMT-0400,126.494,126.494,126.483,126.493,87499.9982
14.05.2021 09:30:26.000 GMT-0400,126.503,126.504,126.503,126.504,59999.998799999994
14.05.2021 09:30:27.000 GMT-0400,126.503,126.534,126.503,126.513,114999.9976
14.05.2021 09:30:28.000 GMT-0400,126.534,126.534,126.514,126.534,119999.99759999999
14.05.2021 09:30:29.000 GMT-0400,126.533,126.554,126.533,126.534,239999.99519999992
14.05.2021 09:30:30.000 GMT-0400,126.554,126.573,126.554,126.573,79999.9984
14.05.2021 09:30:31.000 GMT-0400,126.553,126.574,126.553,126.573,67499.9986
14.05.2021 09:30:32.000 GMT-0400,126.554,126.564,126.543,126.554,99999.99799999999
14.05.2021 09:30:33.000 GMT-0400,126.553,126.574,126.553,126.574,234999.99519999992
14.05.2021 09:30:34.000 GMT-0400,126.574,126.574,126.573,126.573,39999.9992
14.05.2021 09:30:35.000 GMT-0400,126.563,126.583,126.563,126.583,119999.99759999999
14.05.2021 09:30:36.000 GMT-0400,126.583,126.603,126.573,126.573,119999.99759999999
14.05.2021 09:30:37.000 GMT-0400,126.564,126.584,126.563,126.564,147499.997
14.05.2021 09:30:38.000 GMT-0400,126.563,126.584,126.563,126.584,119999.99759999999
14.05.2021 09:30:39.000 GMT-0400,126.573,126.604,126.573,126.604,107499.9978
14.05.2021 09:30:40.000 GMT-0400,126.593,126.594,126.573,126.594,147499.997
14.05.2021 09:30:41.000 GMT-0400,126.593,126.594,126.584,126.594,79999.9984
14.05.2021 09:30:42.000 GMT-0400,126.594,126.604,126.574,126.574,114999.99759999999
14.05.2021 09:30:43.000 GMT-0400,126.584,126.584,126.564,126.564,99999.99799999999
14.05.2021 09:30:44.000 GMT-0400,126.564,126.624,126.564,126.613,127499.99740000001
14.05.2021 09:30:45.000 GMT-0400,126.614,126.614,126.583,126.613,147499.997
14.05.2021 09:30:46.000 GMT-0400,126.613,126.614,126.594,126.604,114999.9976
14.05.2021 09:30:47.000 GMT-0400,126.613,126.614,126.594,126.613,167499.99659999998
14.05.2021 09:30:48.000 GMT-0400,126.604,126.614,126.593,126.604,127499.99740000001
14.05.2021 09:30:49.000 GMT-0400,126.593,126.593,126.593,126.593,7499.9998
14.05.2021 09:30:50.000 GMT-0400,126.594,126.614,126.594,126.614,87499.9982
14.05.2021 09:30:51.000 GMT-0400,126.614,126.614,126.603,126.604,47499.999
14.05.2021 09:30:52.000 GMT-0400,126.594,126.594,126.583,126.594,107499.9978
14.05.2021 09:30:53.000 GMT-0400,126.583,126.583,126.563,126.563,79999.9984
14.05.2021 09:30:54.000 GMT-0400,126.554,126.564,126.553,126.564,127499.99740000001
14.05.2021 09:30:55.000 GMT-0400,126.573,126.594,126.564,126.564,199999.99599999996
14.05.2021 09:30:56.000 GMT-0400,126.574,126.583,126.523,126.523,169999.99639999997
14.05.2021 09:30:57.000 GMT-0400,126.523,126.564,126.523,126.564,167499.99659999998
14.05.2021 09:30:58.000 GMT-0400,126.553,126.554,126.524,126.554,167499.99659999998
14.05.2021 09:30:59.000 GMT-0400,126.543,126.543,126.524,126.524,59999.998799999994
14.05.2021 09:31:00.000 GMT-0400,126.513,126.524,126.494,126.494,127499.99740000001
14.05.2021 09:31:01.000 GMT-0400,126.503,126.514,126.493,126.494,179999.99639999997
14.05.2021 09:31:02.000 GMT-0400,126.453,126.473,126.423,126.473,179999.99639999997
14.05.2021 09:31:03.000 GMT-0400,126.473,126.484,126.453,126.483,179999.99639999997
14.05.2021 09:31:04.000 GMT-0400,126.504,126.524,126.504,126.524,59999.998799999994
14.05.2021 09:31:05.000 GMT-0400,126.513,126.513,126.493,126.513,207499.99579999995
14.05.2021 09:31:06.000 GMT-0400,126.523,126.534,126.513,126.514,167499.99659999998
14.05.2021 09:31:07.000 GMT-0400,126.513,126.524,126.503,126.523,187499.99619999997
14.05.2021 09:31:08.000 GMT-0400,126.533,126.574,126.533,126.574,159999.9968
14.05.2021 09:31:09.000 GMT-0400,126.593,126.594,126.574,126.593,187499.99619999997
14.05.2021 09:31:10.000 GMT-0400,126.604,126.614,126.593,126.603,127499.99739999998
14.05.2021 09:31:11.000 GMT-0400,126.604,126.644,126.604,126.634,179999.99639999997
14.05.2021 09:31:12.000 GMT-0400,126.623,126.644,126.614,126.644,147499.997
14.05.2021 09:31:13.000 GMT-0400,126.643,126.684,126.643,126.674,147499.997
14.05.2021 09:31:14.000 GMT-0400,126.673,126.694,126.663,126.694,167499.99659999998
14.05.2021 09:31:15.000 GMT-0400,126.694,126.744,126.694,126.744,199999.99599999996
14.05.2021 09:31:16.000 GMT-0400,126.734,126.754,126.723,126.733,122499.9974
14.05.2021 09:31:17.000 GMT-0400,126.743,126.753,126.724,126.724,119999.99759999999
14.05.2021 09:31:18.000 GMT-0400,126.713,126.723,126.713,126.723,79999.9984
14.05.2021 09:31:19.000 GMT-0400,126.714,126.743,126.704,126.743,99999.99799999999
14.05.2021 09:31:20.000 GMT-0400,126.754,126.754,126.733,126.733,139999.9972
14.05.2021 09:31:21.000 GMT-0400,126.744,126.753,126.734,126.744,147499.997
14.05.2021 09:31:22.000 GMT-0400,126.733,126.753,126.723,126.753,139999.9972
14.05.2021 09:31:23.000 GMT-0400,126.773,126.784,126.763,126.784,99999.99799999999
14.05.2021 09:31:24.000 GMT-0400,126.783,126.804,126.783,126.803,99999.99799999999
14.05.2021 09:31:25.000 GMT-0400,126.804,126.804,126.784,126.784,159999.9968
14.05.2021 09:31:26.000 GMT-0400,126.794,126.804,126.793,126.804,99999.99799999999
14.05.2021 09:31:27.000 GMT-0400,126.793,126.793,126.753,126.764,167499.99659999998
14.05.2021 09:31:28.000 GMT-0400,126.773,126.794,126.754,126.794,139999.9972
14.05.2021 09:31:29.000 GMT-0400,126.783,126.784,126.763,126.784,62499.99859999999
14.05.2021 09:31:30.000 GMT-0400,126.773,126.774,126.753,126.754,174999.99639999997
14.05.2021 09:31:31.000 GMT-0400,126.744,126.764,126.743,126.754,94999.998
14.05.2021 09:31:32.000 GMT-0400,126.743,126.743,126.674,126.683,119999.99759999999
14.05.2021 09:31:33.000 GMT-0400,126.684,126.703,126.673,126.703,119999.99759999999
14.05.2021 09:31:34.000 GMT-0400,126.703,126.714,126.693,126.704,139999.9972
14.05.2021 09:31:35.000 GMT-0400,126.714,126.714,126.693,126.694,119999.99759999999
14.05.2021 09:31:36.000 GMT-0400,126.693,126.694,126.663,126.683,159999.9968
14.05.2021 09:31:37.000 GMT-0400,126.674,126.683,126.664,126.664,99999.99799999999
14.05.2021 09:31:38.000 GMT-0400,126.673,126.684,126.664,126.674,147499.997
14.05.2021 09:31:39.000 GMT-0400,126.663,126.714,126.663,126.713,134999.9972
14.05.2021 09:31:40.000 GMT-0400,126.704,126.704,126.663,126.663,99999.99799999999
14.05.2021 09:31:41.000 GMT-0400,126.673,126.704,126.673,126.693,79999.9984
14.05.2021 09:31:42.000 GMT-0400,126.693,126.693,126.673,126.683,79999.9984
14.05.2021 09:31:43.000 GMT-0400,126.694,126.704,126.693,126.704,99999.99799999999
14.05.2021 09:31:44.000 GMT-0400,126.693,126.734,126.693,126.734,87499.9982
14.05.2021 09:31:45.000 GMT-0400,126.733,126.763,126.733,126.763,99999.99799999999
14.05.2021 09:31:46.000 GMT-0400,126.763,126.783,126.763,126.773,114999.99759999999
14.05.2021 09:31:47.000 GMT-0400,126.774,126.783,126.774,126.783,39999.9992
14.05.2021 09:31:48.000 GMT-0400,126.783,126.783,126.773,126.783,67499.9986
14.05.2021 09:31:49.000 GMT-0400,126.783,126.794,126.783,126.783,99999.99799999999
14.05.2021 09:31:50.000 GMT-0400,126.783,126.784,126.783,126.784,79999.9984
14.05.2021 09:31:51.000 GMT-0400,126.783,126.783,126.783,126.783,19999.9996
14.05.2021 09:31:52.000 GMT-0400,126.774,126.784,126.763,126.784,159999.9968
14.05.2021 09:31:53.000 GMT-0400,126.803,126.803,126.794,126.794,39999.9992
14.05.2021 09:31:54.000 GMT-0400,126.794,126.804,126.794,126.803,99999.99799999999
14.05.2021 09:31:55.000 GMT-0400,126.794,126.804,126.773,126.783,102499.9978
14.05.2021 09:31:56.000 GMT-0400,126.774,126.784,126.754,126.754,87499.9982
14.05.2021 09:31:57.000 GMT-0400,126.744,126.763,126.743,126.743,79999.9984
14.05.2021 09:31:58.000 GMT-0400,126.723,126.743,126.723,126.743,87499.9982
14.05.2021 09:31:59.000 GMT-0400,126.744,126.754,126.733,126.733,67499.9986
14.05.2021 09:32:00.000 GMT-0400,126.733,126.733,126.704,126.713,99999.99799999999
14.05.2021 09:32:01.000 GMT-0400,126.723,126.723,126.703,126.713,167499.99659999998
14.05.2021 09:32:02.000 GMT-0400,126.703,126.723,126.654,126.654,167499.99659999998
14.05.2021 09:32:03.000 GMT-0400,126.663,126.673,126.634,126.634,107499.9978
14.05.2021 09:32:04.000 GMT-0400,126.643,126.653,126.633,126.634,139999.9972
14.05.2021 09:32:05.000 GMT-0400,126.624,126.624,126.553,126.564,139999.9972
14.05.2021 09:32:06.000 GMT-0400,126.553,126.553,126.474,126.474,159999.9968
14.05.2021 09:32:07.000 GMT-0400,126.433,126.454,126.423,126.434,127499.99740000001
14.05.2021 09:32:08.000 GMT-0400,126.434,126.464,126.433,126.463,147499.997
14.05.2021 09:32:09.000 GMT-0400,126.454,126.463,126.403,126.414,207499.99579999995
14.05.2021 09:32:10.000 GMT-0400,126.414,126.454,126.403,126.404,199999.99599999996
14.05.2021 09:32:11.000 GMT-0400,126.393,126.423,126.393,126.413,122499.99740000001
14.05.2021 09:32:12.000 GMT-0400,126.414,126.434,126.393,126.394,167499.99659999998
14.05.2021 09:32:13.000 GMT-0400,126.384,126.384,126.273,126.273,187499.99619999997
14.05.2021 09:32:14.000 GMT-0400,126.284,126.323,126.284,126.323,119999.99759999999
14.05.2021 09:32:15.000 GMT-0400,126.313,126.324,126.273,126.324,187499.99619999997
14.05.2021 09:32:16.000 GMT-0400,126.333,126.374,126.303,126.374,167499.99659999998
14.05.2021 09:32:17.000 GMT-0400,126.374,126.384,126.363,126.363,159999.9968
14.05.2021 09:32:18.000 GMT-0400,126.374,126.404,126.363,126.394,139999.9972
14.05.2021 09:32:19.000 GMT-0400,126.404,126.413,126.403,126.413,79999.9984
14.05.2021 09:32:20.000 GMT-0400,126.414,126.414,126.373,126.383,99999.99799999999
14.05.2021 09:32:21.000 GMT-0400,126.384,126.404,126.383,126.383,107499.9978
14.05.2021 09:32:22.000 GMT-0400,126.403,126.433,126.394,126.423,139999.9972
14.05.2021 09:32:23.000 GMT-0400,126.433,126.433,126.394,126.433,107499.9978
14.05.2021 09:32:24.000 GMT-0400,126.433,126.464,126.433,126.453,167499.99659999998
14.05.2021 09:32:25.000 GMT-0400,126.464,126.464,126.443,126.443,99999.99799999999
14.05.2021 09:32:26.000 GMT-0400,126.453,126.464,126.413,126.413,179999.99639999997
14.05.2021 09:32:27.000 GMT-0400,126.423,126.424,126.403,126.413,247499.9949999999
14.05.2021 09:32:28.000 GMT-0400,126.394,126.414,126.394,126.404,107499.9978
14.05.2021 09:32:29.000 GMT-0400,126.413,126.433,126.413,126.433,127499.99740000001
14.05.2021 09:32:30.000 GMT-0400,126.444,126.473,126.444,126.473,147499.997
14.05.2021 09:32:31.000 GMT-0400,126.483,126.484,126.464,126.464,127499.99740000001
14.05.2021 09:32:32.000 GMT-0400,126.463,126.463,126.463,126.463,39999.9992
14.05.2021 09:32:33.000 GMT-0400,126.463,126.463,126.463,126.463,59999.998799999994
14.05.2021 09:32:34.000 GMT-0400,126.464,126.493,126.464,126.483,127499.99740000001
14.05.2021 09:32:35.000 GMT-0400,126.474,126.474,126.473,126.473,39999.9992
14.05.2021 09:32:36.000 GMT-0400,126.504,126.504,126.484,126.504,147499.997
14.05.2021 09:32:37.000 GMT-0400,126.493,126.504,126.493,126.504,87499.9982
14.05.2021 09:32:38.000 GMT-0400,126.504,126.514,126.493,126.504,167499.99659999998
14.05.2021 09:32:39.000 GMT-0400,126.514,126.524,126.493,126.493,122499.99740000001
14.05.2021 09:32:40.000 GMT-0400,126.504,126.514,126.493,126.514,147499.997
14.05.2021 09:32:41.000 GMT-0400,126.523,126.524,126.474,126.474,207499.99579999995
14.05.2021 09:32:42.000 GMT-0400,126.474,126.494,126.474,126.494,134999.9972
14.05.2021 09:32:43.000 GMT-0400,126.494,126.533,126.493,126.523,167499.99659999998
14.05.2021 09:32:44.000 GMT-0400,126.534,126.553,126.523,126.543,187499.99619999997
14.05.2021 09:32:45.000 GMT-0400,126.534,126.563,126.533,126.553,219999.99559999994
14.05.2021 09:32:46.000 GMT-0400,126.544,126.553,126.543,126.553,147499.997
14.05.2021 09:32:47.000 GMT-0400,126.544,126.584,126.544,126.573,187499.99619999997
14.05.2021 09:32:48.000 GMT-0400,126.583,126.604,126.583,126.584,119999.99759999999
14.05.2021 09:32:49.000 GMT-0400,126.574,126.604,126.574,126.604,159999.9968
14.05.2021 09:32:50.000 GMT-0400,126.603,126.614,126.603,126.614,154999.9968
14.05.2021 09:32:51.000 GMT-0400,126.604,126.654,126.604,126.643,122499.9974
14.05.2021 09:32:52.000 GMT-0400,126.644,126.644,126.644,126.644,27499.9994
14.05.2021 09:32:53.000 GMT-0400,126.663,126.674,126.644,126.674,147499.997
14.05.2021 09:32:54.000 GMT-0400,126.673,126.693,126.673,126.693,147499.997
14.05.2021 09:32:55.000 GMT-0400,126.694,126.714,126.684,126.713,179999.99639999997
14.05.2021 09:32:56.000 GMT-0400,126.713,126.733,126.713,126.723,107499.9978
14.05.2021 09:32:57.000 GMT-0400,126.723,126.734,126.723,126.734,99999.99799999999
14.05.2021 09:32:58.000 GMT-0400,126.734,126.753,126.724,126.734,87499.9982
14.05.2021 09:32:59.000 GMT-0400,126.734,126.763,126.733,126.763,167499.99659999998
14.05.2021 09:33:00.000 GMT-0400,126.753,126.763,126.743,126.754,147499.997
14.05.2021 09:33:01.000 GMT-0400,126.774,126.774,126.763,126.763,27499.9994
14.05.2021 09:33:02.000 GMT-0400,126.753,126.774,126.743,126.744,94999.998
14.05.2021 09:33:03.000 GMT-0400,126.743,126.783,126.733,126.783,107499.9978
14.05.2021 09:33:04.000 GMT-0400,126.774,126.803,126.774,126.803,154999.9968
14.05.2021 09:33:05.000 GMT-0400,126.803,126.804,126.803,126.804,59999.998799999994
14.05.2021 09:33:06.000 GMT-0400,126.803,126.814,126.803,126.814,119999.99759999999
14.05.2021 09:33:07.000 GMT-0400,126.794,126.824,126.794,126.824,119999.99759999999
14.05.2021 09:33:08.000 GMT-0400,126.823,126.824,126.813,126.814,119999.99759999999
14.05.2021 09:33:09.000 GMT-0400,126.803,126.824,126.803,126.823,107499.9978
14.05.2021 09:33:10.000 GMT-0400,126.803,126.824,126.793,126.814,207499.99579999995
14.05.2021 09:33:11.000 GMT-0400,126.804,126.814,126.794,126.794,167499.99659999998
14.05.2021 09:33:12.000 GMT-0400,126.784,126.793,126.784,126.793,59999.998799999994
14.05.2021 09:33:13.000 GMT-0400,126.793,126.814,126.783,126.803,119999.99759999999
14.05.2021 09:33:14.000 GMT-0400,126.804,126.824,126.803,126.824,79999.9984
14.05.2021 09:33:15.000 GMT-0400,126.823,126.833,126.803,126.813,167499.99659999998
14.05.2021 09:33:16.000 GMT-0400,126.824,126.834,126.823,126.823,99999.99799999999
