Local time,Open,High,Low,Close,Volume
18.05.2021 09:30:00.000 GMT-0400,126.563,126.564,126.464,126.464,179999.99639999997
18.05.2021 09:30:01.000 GMT-0400,126.473,126.484,126.435,126.454,142499.997
18.05.2021 09:30:02.000 GMT-0400,126.453,126.453,126.433,126.434,114999.9976
18.05.2021 09:30:03.000 GMT-0400,126.444,126.444,126.403,126.444,134999.9972
18.05.2021 09:30:04.000 GMT-0400,126.444,126.473,126.444,126.473,107499.9978
18.05.2021 09:30:05.000 GMT-0400,126.453,126.474,126.413,126.413,147499.997
18.05.2021 09:30:06.000 GMT-0400,126.428,126.514,126.428,126.504,254999.9947999999
18.05.2021 09:30:07.000 GMT-0400,126.464,126.503,126.443,126.503,67499.9986
18.05.2021 09:30:08.000 GMT-0400,126.504,126.504,126.504,126.504,39999.9992
18.05.2021 09:30:09.000 GMT-0400,126.493,126.504,126.448,126.483,142499.997
18.05.2021 09:30:10.000 GMT-0400,126.463,126.504,126.453,126.503,127499.99740000001
18.05.2021 09:30:11.000 GMT-0400,126.484,126.513,126.483,126.513,99999.99799999999
18.05.2021 09:30:12.000 GMT-0400,126.483,126.514,126.473,126.514,259999.9947999999
18.05.2021 09:30:13.000 GMT-0400,126.493,126.514,126.493,126.493,199999.99599999996
18.05.2021 09:30:14.000 GMT-0400,126.474,126.474,126.444,126.444,47499.999
18.05.2021 09:30:15.000 GMT-0400,126.444,126.454,126.414,126.424,134999.9972
18.05.2021 09:30:16.000 GMT-0400,126.414,126.434,126.403,126.424,114999.9976
18.05.2021 09:30:17.000 GMT-0400,126.413,126.423,126.394,126.403,114999.9976
18.05.2021 09:30:18.000 GMT-0400,126.394,126.414,126.393,126.414,167499.99659999998
18.05.2021 09:30:19.000 GMT-0400,126.403,126.483,126.403,126.474,119999.99759999999
18.05.2021 09:30:20.000 GMT-0400,126.484,126.524,126.484,126.494,107499.9978
18.05.2021 09:30:21.000 GMT-0400,126.503,126.503,126.503,126.503,39999.9992
18.05.2021 09:30:24.000 GMT-0400,126.473,126.534,126.473,126.534,207499.99579999995
18.05.2021 09:30:25.000 GMT-0400,126.533,126.533,126.503,126.504,119999.99759999999
18.05.2021 09:30:26.000 GMT-0400,126.494,126.504,126.493,126.493,59999.998799999994
18.05.2021 09:30:27.000 GMT-0400,126.504,126.504,126.463,126.463,67499.9986
18.05.2021 09:30:28.000 GMT-0400,126.463,126.504,126.453,126.504,139999.9972
18.05.2021 09:30:29.000 GMT-0400,126.493,126.533,126.493,126.524,174999.99639999997
18.05.2021 09:30:30.000 GMT-0400,126.534,126.534,126.514,126.534,179999.99639999997
18.05.2021 09:30:31.000 GMT-0400,126.523,126.614,126.523,126.614,154999.9968
18.05.2021 09:30:32.000 GMT-0400,126.634,126.654,126.633,126.633,139999.9972
18.05.2021 09:30:33.000 GMT-0400,126.644,126.644,126.623,126.634,67499.9986
18.05.2021 09:30:34.000 GMT-0400,126.633,126.644,126.633,126.644,107499.9978
18.05.2021 09:30:35.000 GMT-0400,126.633,126.644,126.594,126.594,87499.9982
