Local time,Open,High,Low,Close,Volume
04.06.2021 09:30:00.000 GMT-0400,124.027,124.046,124.026,124.036,179999.99639999997
04.06.2021 09:30:01.000 GMT-0400,124.017,124.027,123.996,124.017,200149.99599999996
04.06.2021 09:30:02.000 GMT-0400,124.037,124.056,124.036,124.056,139999.9972
04.06.2021 09:30:03.000 GMT-0400,124.057,124.077,124.046,124.066,100459.99799999999
04.06.2021 09:30:04.000 GMT-0400,124.076,124.076,124.066,124.066,40459.9992
04.06.2021 09:30:05.000 GMT-0400,124.086,124.087,124.067,124.087,120919.9976
04.06.2021 09:30:06.000 GMT-0400,124.066,124.067,124.066,124.066,99999.99799999999
04.06.2021 09:30:07.000 GMT-0400,124.095,124.095,124.066,124.067,121069.99759999999
04.06.2021 09:30:08.000 GMT-0400,124.056,124.056,124.056,124.056,19999.9996
04.06.2021 09:30:09.000 GMT-0400,124.056,124.056,123.966,123.966,80149.9984
04.06.2021 09:30:10.000 GMT-0400,123.986,124.056,123.986,124.047,140149.99719999998
04.06.2021 09:30:11.000 GMT-0400,124.036,124.047,124.016,124.016,119999.99759999999
04.06.2021 09:30:12.000 GMT-0400,124.016,124.016,123.976,123.976,119999.99759999999
04.06.2021 09:30:13.000 GMT-0400,123.986,123.997,123.976,123.977,80149.9984
04.06.2021 09:30:14.000 GMT-0400,123.977,124.017,123.977,124.017,140919.99719999998
04.06.2021 09:30:15.000 GMT-0400,124.016,124.016,123.976,124.007,100459.99799999999
04.06.2021 09:30:16.000 GMT-0400,123.976,123.976,123.976,123.976,39999.9992
04.06.2021 09:30:17.000 GMT-0400,123.976,123.976,123.976,123.976,79999.9984
04.06.2021 09:30:18.000 GMT-0400,123.976,123.977,123.946,123.976,80149.9984
04.06.2021 09:30:19.000 GMT-0400,123.976,123.976,123.946,123.957,99999.99799999999
04.06.2021 09:30:20.000 GMT-0400,123.966,123.967,123.946,123.946,99999.99799999999
04.06.2021 09:30:21.000 GMT-0400,123.946,123.956,123.927,123.956,80919.9984
04.06.2021 09:30:22.000 GMT-0400,123.967,123.977,123.957,123.966,120459.99759999999
04.06.2021 09:30:23.000 GMT-0400,123.967,123.976,123.957,123.966,119999.99759999999
04.06.2021 09:30:24.000 GMT-0400,123.976,123.976,123.966,123.967,100609.99799999999
04.06.2021 09:30:25.000 GMT-0400,123.957,123.967,123.936,123.936,120459.99759999999
04.06.2021 09:30:26.000 GMT-0400,123.926,123.937,123.926,123.927,99999.99799999999
04.06.2021 09:30:27.000 GMT-0400,123.937,123.937,123.926,123.926,20459.999599999996
04.06.2021 09:30:28.000 GMT-0400,123.917,123.926,123.916,123.916,119999.99759999999
04.06.2021 09:30:29.000 GMT-0400,123.927,123.937,123.916,123.927,99999.99799999999
04.06.2021 09:30:30.000 GMT-0400,123.927,123.927,123.866,123.887,100609.99799999999
04.06.2021 09:30:31.000 GMT-0400,123.897,123.907,123.897,123.897,99999.99799999999
04.06.2021 09:30:32.000 GMT-0400,123.866,123.866,123.856,123.856,99999.99799999999
04.06.2021 09:30:33.000 GMT-0400,123.866,123.867,123.847,123.866,100609.99799999999
04.06.2021 09:30:34.000 GMT-0400,123.857,123.867,123.847,123.856,119999.99759999999
04.06.2021 09:30:35.000 GMT-0400,123.856,123.866,123.846,123.856,120919.9976
04.06.2021 09:30:36.000 GMT-0400,123.857,123.867,123.847,123.857,100459.99799999999
04.06.2021 09:30:37.000 GMT-0400,123.867,123.867,123.847,123.866,99999.99799999999
04.06.2021 09:30:38.000 GMT-0400,123.876,123.876,123.876,123.876,19999.9996
04.06.2021 09:30:39.000 GMT-0400,123.847,123.857,123.846,123.847,120149.99759999999
04.06.2021 09:30:40.000 GMT-0400,123.846,123.847,123.846,123.846,119999.99759999999
04.06.2021 09:30:41.000 GMT-0400,123.847,123.886,123.846,123.876,119999.99759999999
04.06.2021 09:30:42.000 GMT-0400,123.876,123.907,123.867,123.896,100759.99799999999
04.06.2021 09:30:43.000 GMT-0400,123.887,123.887,123.856,123.877,159999.9968
04.06.2021 09:30:44.000 GMT-0400,123.887,123.917,123.887,123.917,59999.998799999994
04.06.2021 09:30:45.000 GMT-0400,123.937,123.937,123.937,123.937,59999.998799999994
04.06.2021 09:30:46.000 GMT-0400,123.946,123.957,123.937,123.957,60459.9988
04.06.2021 09:30:47.000 GMT-0400,123.956,123.957,123.946,123.957,140149.99719999998
04.06.2021 09:30:48.000 GMT-0400,123.957,123.977,123.957,123.977,99999.99799999999
04.06.2021 09:30:49.000 GMT-0400,123.966,123.966,123.956,123.957,139999.9972
04.06.2021 09:30:50.000 GMT-0400,123.946,123.946,123.936,123.936,59999.998799999994
04.06.2021 09:30:51.000 GMT-0400,123.936,123.946,123.936,123.946,39999.9992
04.06.2021 09:30:52.000 GMT-0400,123.926,123.927,123.917,123.917,59999.998799999994
04.06.2021 09:30:53.000 GMT-0400,123.916,123.916,123.916,123.916,19999.9996
04.06.2021 09:30:54.000 GMT-0400,123.937,123.957,123.926,123.946,121219.99759999999
04.06.2021 09:30:55.000 GMT-0400,123.957,123.997,123.947,123.997,240149.99519999998
04.06.2021 09:30:56.000 GMT-0400,124.006,124.007,123.987,123.987,160149.99679999996
04.06.2021 09:30:57.000 GMT-0400,124.006,124.056,123.997,124.026,140459.99719999998
04.06.2021 09:30:58.000 GMT-0400,124.026,124.037,124.006,124.006,179999.99639999997
04.06.2021 09:30:59.000 GMT-0400,124.027,124.037,124.007,124.007,179999.99639999997
04.06.2021 09:31:00.000 GMT-0400,124.016,124.047,124.007,124.016,239999.99519999992
