time,open,high,low,close,Shapes,Shapes,Volume,Volume MA
2021-06-04T13:30:00Z,124.07,124.07,124.03,124.04,0,0,1100,NaN
2021-06-04T13:30:01Z,124.04,124.04,124.02,124.03,0,0,966,NaN
2021-06-04T13:30:02Z,124.02,124.08,124.01,124.07,1,0,18389,NaN
2021-06-04T13:30:03Z,124.07,124.09,124.07,124.08,0,0,1698,NaN
2021-06-04T13:30:04Z,124.09,124.09,124.09,124.09,0,0,560,NaN
2021-06-04T13:30:05Z,124.1,124.1,124.08,124.09,0,0,500,NaN
2021-06-04T13:30:07Z,124.095,124.1,124.08,124.08,0,0,512,NaN
2021-06-04T13:30:08Z,124.07,124.07,124.07,124.07,0,0,100,NaN
2021-06-04T13:30:09Z,124.08,124.08,124,124,0,0,3385,NaN
2021-06-04T13:30:10Z,123.98,124.07,123.97,124.07,0,0,1474,NaN
2021-06-04T13:30:11Z,124.06,124.06,124.03,124.03,1,0,700,NaN
2021-06-04T13:30:12Z,124.04,124.04,123.99,123.99,0,1,1100,NaN
2021-06-04T13:30:13Z,124.01,124.02,124.01,124.02,0,0,300,NaN
2021-06-04T13:30:14Z,124.01,124.03,124.01,124.03,1,0,500,NaN
2021-06-04T13:30:15Z,124.03,124.03,124.02,124.02,0,0,400,NaN
2021-06-04T13:30:16Z,124.03,124.03,124.03,124.03,0,0,398,NaN
2021-06-04T13:30:18Z,123.98,123.99,123.98,123.99,0,0,400,NaN
2021-06-04T13:30:19Z,123.98,123.98,123.97,123.97,0,0,476,NaN
2021-06-04T13:30:21Z,123.94,123.96,123.94,123.96,0,0,377,NaN
2021-06-04T13:30:22Z,123.97,123.97,123.97,123.97,1,0,200,1676.75
2021-06-04T13:30:23Z,123.98,123.99,123.98,123.99,0,0,500,1646.75
2021-06-04T13:30:24Z,123.98,123.98,123.98,123.98,0,0,400,1618.45
2021-06-04T13:30:25Z,123.97,123.97,123.96,123.96,0,0,300,714
2021-06-04T13:30:26Z,123.93,123.93,123.93,123.93,0,0,143,636.25
2021-06-04T13:30:27Z,123.94,123.94,123.94,123.94,1,0,100,613.25
2021-06-04T13:30:28Z,123.94,123.94,123.93,123.93,0,1,600,618.25
2021-06-04T13:30:30Z,123.91,123.91,123.9,123.9,0,0,624,623.85
2021-06-04T13:30:31Z,123.9,123.91,123.9,123.91,0,0,500,643.85
2021-06-04T13:30:32Z,123.9,123.9,123.86,123.87,0,0,1846,566.9
2021-06-04T13:30:33Z,123.88,123.88,123.87,123.87,0,0,200,503.2
2021-06-04T13:30:34Z,123.87,123.87,123.87,123.87,0,0,100,473.2
2021-06-04T13:30:36Z,123.88,123.88,123.88,123.88,1,0,100,423.2
2021-06-04T13:30:37Z,123.87,123.87,123.87,123.87,0,1,1200,468.2
2021-06-04T13:30:39Z,123.88,123.88,123.86,123.86,0,0,200,453.2
2021-06-04T13:30:40Z,123.86,123.86,123.86,123.86,0,0,100,438.2
2021-06-04T13:30:41Z,123.89,123.89,123.89,123.89,1,0,200,428.3
2021-06-04T13:30:42Z,123.88,123.89,123.88,123.89,0,0,900,453.3
2021-06-04T13:30:43Z,123.89,123.89,123.88,123.88,0,0,200,439.5
2021-06-04T13:30:45Z,123.93,123.93,123.93,123.93,0,0,300,435.65
2021-06-04T13:30:46Z,123.96,123.96,123.96,123.96,0,0,100,430.65
2021-06-04T13:30:48Z,123.965,123.965,123.96,123.96,0,0,200,415.65
2021-06-04T13:30:49Z,123.96,123.96,123.96,123.96,0,0,100,400.65
2021-06-04T13:30:52Z,123.95,123.95,123.93,123.93,0,0,300,400.65
2021-06-04T13:30:54Z,123.95,123.96,123.95,123.96,1,0,400,413.5
2021-06-04T13:30:55Z,124.01,124.01,124.01,124.01,0,0,657,441.35
2021-06-04T13:30:56Z,124,124,124,124,0,1,100,416.35
2021-06-04T13:30:57Z,124.02,124.06,124.01,124.05,1,0,2100,490.15
2021-06-04T13:30:58Z,124.05,124.06,124.02,124.02,0,0,600,495.15
2021-06-04T13:30:59Z,124.05,124.05,124.05,124.05,0,0,100,407.85
2021-06-04T13:31:02Z,124.07,124.07,124.07,124.07,0,0,383,417
2021-06-04T13:31:04Z,124.06,124.08,124.06,124.07,0,0,600,442
2021-06-04T13:31:05Z,124.08,124.14,124.08,124.14,0,0,2006,537.3
2021-06-04T13:31:06Z,124.13,124.15,124.12,124.14,0,0,1400,547.3
2021-06-04T13:31:08Z,124.13,124.13,124.11,124.12,0,1,900,582.3
2021-06-04T13:31:09Z,124.13,124.14,124.13,124.14,1,0,400,597.3
2021-06-04T13:31:10Z,124.14,124.14,124.12,124.12,0,1,500,612.3
2021-06-04T13:31:11Z,124.12,124.13,124.11,124.13,0,0,700,602.3
2021-06-04T13:31:12Z,124.11,124.12,124.09,124.11,0,0,1200,652.3
2021-06-04T13:31:13Z,124.1,124.1,124.1,124.1,0,0,200,647.3
2021-06-04T13:31:14Z,124.1,124.1,124.09,124.09,0,0,200,652.3
2021-06-04T13:31:15Z,124.09,124.09,124.09,124.09,0,0,600,672.3
2021-06-04T13:31:16Z,124.1,124.11,124.1,124.1,1,0,455,690.05
2021-06-04T13:31:17Z,124.12,124.12,124.12,124.12,0,0,100,680.05
2021-06-04T13:31:19Z,124.11,124.13,124.11,124.13,0,0,300,675.05
2021-06-04T13:31:20Z,124.16,124.16,124.14,124.14,0,0,1044,694.4
2021-06-04T13:31:21Z,124.15,124.15,124.15,124.15,0,1,100,694.4
2021-06-04T13:31:22Z,124.16,124.17,124.16,124.17,1,0,300,604.4
2021-06-04T13:31:23Z,124.16,124.16,124.15,124.16,0,0,400,594.4
2021-06-04T13:31:24Z,124.17,124.17,124.17,124.17,0,0,300,604.4
2021-06-04T13:31:25Z,124.17,124.21,124.17,124.21,0,0,1376,654.05
2021-06-04T13:31:26Z,124.2,124.21,124.2,124.2,0,0,300,639.05
2021-06-04T13:31:27Z,124.2,124.22,124.2,124.22,0,0,1061,591.8
2021-06-04T13:31:28Z,124.21,124.21,124.21,124.21,0,0,100,526.8
2021-06-04T13:31:30Z,124.23,124.23,124.23,124.23,0,0,100,486.8
2021-06-04T13:31:31Z,124.25,124.26,124.25,124.25,0,0,1300,531.8
2021-06-04T13:31:32Z,124.24,124.25,124.24,124.25,0,0,1509,582.25
2021-06-04T13:31:33Z,124.25,124.25,124.25,124.25,0,0,200,557.25
2021-06-04T13:31:35Z,124.21,124.22,124.21,124.22,0,1,323,513.4
2021-06-04T13:31:36Z,124.23,124.23,124.23,124.23,1,0,200,513.4
2021-06-04T13:31:37Z,124.22,124.25,124.22,124.25,0,0,400,523.4
2021-06-04T13:31:38Z,124.26,124.26,124.26,124.26,0,0,400,513.4
2021-06-04T13:31:39Z,124.26,124.26,124.26,124.26,0,0,100,495.65
2021-06-04T13:31:40Z,124.25,124.25,124.24,124.24,0,0,500,515.65
2021-06-04T13:31:41Z,124.23,124.23,124.22,124.22,0,0,500,525.65
2021-06-04T13:31:42Z,124.21,124.21,124.21,124.21,0,0,300,488.45
2021-06-04T13:31:44Z,124.2,124.2,124.2,124.2,0,0,750,520.95
2021-06-04T13:31:46Z,124.2,124.2,124.19,124.19,0,0,500,530.95
2021-06-04T13:31:47Z,124.16,124.16,124.16,124.16,0,0,200,520.95
2021-06-04T13:31:48Z,124.13,124.13,124.13,124.13,0,0,400,525.95
