Local time,Open,High,Low,Close,Volume
19.05.2021 09:30:00.000 GMT-0400,123.174,123.174,123.013,123.014,207499.99579999995
19.05.2021 09:30:01.000 GMT-0400,122.953,123.014,122.913,122.964,227499.99539999993
19.05.2021 09:30:02.000 GMT-0400,123.014,123.053,122.944,123.053,259999.9947999999
19.05.2021 09:30:03.000 GMT-0400,123.053,123.073,122.983,123.014,239999.99519999992
19.05.2021 09:30:04.000 GMT-0400,122.963,123.054,122.963,123.014,239999.99519999992
19.05.2021 09:30:05.000 GMT-0400,123.013,123.044,123.013,123.013,199999.99599999996
19.05.2021 09:30:06.000 GMT-0400,123.004,123.124,123.003,123.124,214999.99559999994
19.05.2021 09:30:07.000 GMT-0400,123.114,123.183,123.114,123.174,267499.9945999999
19.05.2021 09:30:08.000 GMT-0400,123.174,123.204,123.174,123.194,279999.9943999999
19.05.2021 09:30:09.000 GMT-0400,123.204,123.233,123.204,123.224,134999.9972
19.05.2021 09:30:10.000 GMT-0400,123.234,123.254,123.223,123.253,247499.9949999999
19.05.2021 09:30:11.000 GMT-0400,123.233,123.334,123.233,123.333,259999.9947999999
19.05.2021 09:30:12.000 GMT-0400,123.313,123.333,123.304,123.313,187499.99619999997
19.05.2021 09:30:13.000 GMT-0400,123.284,123.334,123.284,123.333,99999.99799999999
19.05.2021 09:30:14.000 GMT-0400,123.314,123.354,123.283,123.334,134999.9972
19.05.2021 09:30:15.000 GMT-0400,123.353,123.384,123.343,123.363,182499.99619999997
19.05.2021 09:30:16.000 GMT-0400,123.374,123.374,123.333,123.333,254999.9947999999
19.05.2021 09:30:17.000 GMT-0400,123.334,123.423,123.273,123.314,159999.9968
19.05.2021 09:30:18.000 GMT-0400,123.314,123.324,123.303,123.324,94999.998
19.05.2021 09:30:19.000 GMT-0400,123.324,123.324,123.323,123.323,119999.99759999999
19.05.2021 09:30:20.000 GMT-0400,123.324,123.324,123.303,123.324,139999.9972
19.05.2021 09:30:21.000 GMT-0400,123.314,123.324,123.313,123.324,57499.998799999994
19.05.2021 09:30:22.000 GMT-0400,123.324,123.394,123.323,123.394,69999.9986
19.05.2021 09:30:23.000 GMT-0400,123.373,123.383,123.353,123.383,59999.998799999994
19.05.2021 09:30:24.000 GMT-0400,123.394,123.414,123.363,123.383,79999.9984
19.05.2021 09:30:25.000 GMT-0400,123.393,123.414,123.363,123.404,89999.99819999999
19.05.2021 09:30:26.000 GMT-0400,123.393,123.433,123.393,123.433,179999.99639999997
19.05.2021 09:30:27.000 GMT-0400,123.413,123.444,123.413,123.444,127499.99740000001
19.05.2021 09:30:28.000 GMT-0400,123.434,123.444,123.424,123.433,147499.997
19.05.2021 09:30:29.000 GMT-0400,123.404,123.444,123.394,123.424,159999.9968
19.05.2021 09:30:30.000 GMT-0400,123.444,123.444,123.403,123.413,199999.99599999996
19.05.2021 09:30:31.000 GMT-0400,123.414,123.434,123.394,123.403,102499.9978
19.05.2021 09:30:32.000 GMT-0400,123.403,123.414,123.393,123.404,199999.99599999996
19.05.2021 09:30:33.000 GMT-0400,123.414,123.414,123.364,123.374,139999.9972
19.05.2021 09:30:34.000 GMT-0400,123.373,123.383,123.363,123.373,162499.99659999998
19.05.2021 09:30:35.000 GMT-0400,123.373,123.374,123.353,123.354,139999.9972
19.05.2021 09:30:36.000 GMT-0400,123.354,123.384,123.343,123.373,159999.9968
19.05.2021 09:30:37.000 GMT-0400,123.384,123.424,123.375,123.424,174999.99639999997
19.05.2021 09:30:38.000 GMT-0400,123.413,123.434,123.403,123.434,167499.99659999998
19.05.2021 09:30:39.000 GMT-0400,123.434,123.434,123.403,123.403,134999.9972
19.05.2021 09:30:40.000 GMT-0400,123.413,123.434,123.413,123.433,107499.9978
19.05.2021 09:30:41.000 GMT-0400,123.413,123.424,123.373,123.393,127499.99740000001
19.05.2021 09:30:42.000 GMT-0400,123.414,123.444,123.414,123.444,159999.9968
19.05.2021 09:30:43.000 GMT-0400,123.444,123.444,123.403,123.413,187499.99619999997
19.05.2021 09:30:44.000 GMT-0400,123.403,123.444,123.403,123.444,174999.99639999997
19.05.2021 09:30:45.000 GMT-0400,123.443,123.443,123.423,123.433,87499.9982
19.05.2021 09:30:46.000 GMT-0400,123.404,123.414,123.393,123.393,79999.9984
