Local time,Open,High,Low,Close,Volume
11.05.2021 09:30:00.000 GMT-0400,123.347,123.477,123.347,123.386,199999.99599999996
11.05.2021 09:30:01.000 GMT-0400,123.346,123.346,123.247,123.307,179999.99639999997
11.05.2021 09:30:02.000 GMT-0400,123.247,123.317,123.196,123.266,259999.9947999999
11.05.2021 09:30:03.000 GMT-0400,123.226,123.226,123.116,123.157,220074.99559999994
11.05.2021 09:30:04.000 GMT-0400,123.157,123.157,123.086,123.086,259999.9947999999
11.05.2021 09:30:05.000 GMT-0400,123.086,123.117,123.036,123.076,339999.99319999985
11.05.2021 09:30:06.000 GMT-0400,123.057,123.057,122.986,122.987,259999.9947999999
11.05.2021 09:30:07.000 GMT-0400,122.987,122.987,122.897,122.907,239999.99519999992
11.05.2021 09:30:08.000 GMT-0400,122.886,122.907,122.826,122.826,300074.9939999999
11.05.2021 09:30:09.000 GMT-0400,122.856,122.877,122.786,122.786,320544.9935999998
11.05.2021 09:30:10.000 GMT-0400,122.786,122.867,122.756,122.757,219999.99559999994
11.05.2021 09:30:11.000 GMT-0400,122.877,123.017,122.757,122.917,240074.99519999992
11.05.2021 09:30:12.000 GMT-0400,122.917,123.057,122.916,123.026,220074.99559999994
11.05.2021 09:30:13.000 GMT-0400,123.107,123.227,123.086,123.146,239999.99519999992
11.05.2021 09:30:14.000 GMT-0400,122.926,123.187,122.916,123.157,280544.9943999999
11.05.2021 09:30:15.000 GMT-0400,123.216,123.246,123.156,123.157,140544.99719999995
11.05.2021 09:30:16.000 GMT-0400,123.247,123.257,122.996,123.207,161014.99679999996
11.05.2021 09:30:17.000 GMT-0400,122.996,123.227,122.996,123.197,179999.99639999997
11.05.2021 09:30:18.000 GMT-0400,123.197,123.207,122.996,123.207,140074.99719999998
11.05.2021 09:30:19.000 GMT-0400,123.227,123.306,123.227,123.286,159999.9968
11.05.2021 09:30:20.000 GMT-0400,123.276,123.377,123.222,123.367,200544.99599999993
11.05.2021 09:30:21.000 GMT-0400,123.386,123.427,123.386,123.406,119999.99759999999
11.05.2021 09:30:22.000 GMT-0400,123.366,123.397,123.356,123.376,90074.9982
11.05.2021 09:30:23.000 GMT-0400,123.367,123.367,123.336,123.337,140544.99719999998
11.05.2021 09:30:24.000 GMT-0400,123.347,123.397,123.347,123.397,120544.99759999999
11.05.2021 09:30:25.000 GMT-0400,123.387,123.396,123.347,123.367,180469.9964
11.05.2021 09:30:26.000 GMT-0400,123.376,123.397,123.346,123.397,179999.99639999997
11.05.2021 09:30:27.000 GMT-0400,123.397,123.397,123.326,123.336,140074.99719999998
11.05.2021 09:30:28.000 GMT-0400,123.356,123.386,123.356,123.376,120469.99759999999
11.05.2021 09:30:29.000 GMT-0400,123.386,123.407,123.327,123.367,200074.99599999996
11.05.2021 09:30:30.000 GMT-0400,123.356,123.416,123.356,123.416,179999.99639999997
11.05.2021 09:30:31.000 GMT-0400,123.397,123.397,123.376,123.386,199999.99599999996
11.05.2021 09:30:32.000 GMT-0400,123.416,123.426,123.367,123.426,219999.99559999994
11.05.2021 09:30:33.000 GMT-0400,123.436,123.556,123.436,123.556,180074.99639999997
11.05.2021 09:30:34.000 GMT-0400,123.556,123.626,123.556,123.626,139999.9972
11.05.2021 09:30:35.000 GMT-0400,123.666,123.666,123.656,123.666,99999.99799999999
11.05.2021 09:30:36.000 GMT-0400,123.666,123.666,123.616,123.616,199999.99599999996
11.05.2021 09:30:37.000 GMT-0400,123.606,123.606,123.506,123.516,220469.99559999994
11.05.2021 09:30:38.000 GMT-0400,123.526,123.587,123.506,123.586,199999.99599999996
11.05.2021 09:30:39.000 GMT-0400,123.587,123.587,123.557,123.567,139999.9972
11.05.2021 09:30:40.000 GMT-0400,123.586,123.586,123.487,123.527,159999.9968
11.05.2021 09:30:41.000 GMT-0400,123.497,123.547,123.497,123.536,199999.99599999996
11.05.2021 09:30:42.000 GMT-0400,123.546,123.566,123.526,123.566,179999.99639999997
11.05.2021 09:30:43.000 GMT-0400,123.577,123.596,123.566,123.587,160074.9968
11.05.2021 09:30:44.000 GMT-0400,123.606,123.606,123.546,123.546,159999.9968
11.05.2021 09:30:45.000 GMT-0400,123.557,123.587,123.557,123.586,60544.998799999994
11.05.2021 09:30:46.000 GMT-0400,123.606,123.627,123.596,123.627,140469.99719999998
11.05.2021 09:30:47.000 GMT-0400,123.636,123.757,123.636,123.757,180074.99639999997
11.05.2021 09:30:48.000 GMT-0400,123.746,123.746,123.687,123.696,159999.9968
11.05.2021 09:30:49.000 GMT-0400,123.696,123.697,123.677,123.677,120469.99759999999
11.05.2021 09:30:50.000 GMT-0400,123.687,123.696,123.677,123.677,219999.99559999994
11.05.2021 09:30:51.000 GMT-0400,123.677,123.746,123.676,123.746,239999.99519999992
11.05.2021 09:30:52.000 GMT-0400,123.757,123.766,123.746,123.747,239999.99519999992
11.05.2021 09:30:53.000 GMT-0400,123.757,123.757,123.746,123.746,159999.9968
11.05.2021 09:30:54.000 GMT-0400,123.786,123.786,123.756,123.756,220074.99559999994
11.05.2021 09:30:55.000 GMT-0400,123.736,123.757,123.626,123.646,179999.99639999997
11.05.2021 09:30:56.000 GMT-0400,123.677,123.706,123.646,123.696,200469.99599999993
11.05.2021 09:30:57.000 GMT-0400,123.697,123.697,123.586,123.586,160469.99679999996
