time,open,high,low,close,Shapes,Shapes,Volume,Volume MA
2021-06-07T13:30:00Z,126.18,126.2,126.18,126.19,0,0,1639,1359.35
2021-06-07T13:30:01Z,126.18,126.2,126.12,126.12,0,1,4972,1516.05
2021-06-07T13:30:02Z,126.07,126.08,126.05,126.05,0,0,500,1521.05
2021-06-07T13:30:03Z,126.08,126.09,126.07,126.07,0,0,1376,1574.85
2021-06-07T13:30:04Z,126.07,126.07,126.07,126.07,0,0,250,1572.35
2021-06-07T13:30:05Z,126.09,126.09,126.075,126.075,1,0,300,1572.35
2021-06-07T13:30:06Z,126.06,126.06,126.05,126.05,0,1,1000,1612.35
2021-06-07T13:30:07Z,126.06,126.06,126.055,126.055,0,0,578,1621.25
2021-06-07T13:30:08Z,126.055,126.075,126.05,126.05,0,0,762,1639.35
2021-06-07T13:30:09Z,126.06,126.06,126.06,126.06,1,0,100,1604.9
2021-06-07T13:30:10Z,126.095,126.1,126.095,126.1,0,0,400,1341.4
2021-06-07T13:30:12Z,126.1,126.1,126.08,126.08,0,1,2414,1442.1
2021-06-07T13:30:13Z,126.07,126.07,126.06,126.06,0,0,490,1236.5
2021-06-07T13:30:16Z,126.08,126.09,126.07,126.07,0,0,2900,1262.8
2021-06-07T13:30:17Z,126.05,126.06,126.05,126.06,0,0,200,1183.1
2021-06-07T13:30:18Z,126.06,126.06,126.06,126.06,1,0,150,1043.9
2021-06-07T13:30:20Z,126.07,126.09,126.07,126.09,0,0,1000,1061.55
2021-06-07T13:30:21Z,126.08,126.08,126.05,126.05,0,1,559,1079.5
2021-06-07T13:30:22Z,126.1,126.1,126.09,126.09,1,0,300,1064.5
2021-06-07T13:30:23Z,126.08,126.08,126.05,126.07,0,1,1980,1093.5
2021-06-07T13:30:24Z,126.05,126.05,126.04,126.04,0,0,2111,1117.1
2021-06-07T13:30:25Z,126.04,126.04,126.02,126.03,0,0,2094,973.2
2021-06-07T13:30:26Z,126.02,126.03,126.01,126.03,0,0,1200,1008.2
2021-06-07T13:30:27Z,126.04,126.05,126.04,126.04,1,0,2106,1044.7
2021-06-07T13:30:28Z,126.07,126.07,126.03,126.03,0,1,2173,1140.85
2021-06-07T13:30:29Z,126.03,126.05,126.03,126.05,0,0,1100,1180.85
2021-06-07T13:30:30Z,126.05,126.06,126.05,126.06,1,0,200,1140.85
2021-06-07T13:30:31Z,126.05,126.05,126.05,126.05,0,0,800,1151.95
2021-06-07T13:30:32Z,126.05,126.05,126.05,126.05,0,0,200,1123.85
2021-06-07T13:30:34Z,126.02,126.02,126.02,126.02,0,0,100,1123.85
2021-06-07T13:30:35Z,126.01,126.01,126.01,126.01,0,0,500,1128.85
2021-06-07T13:30:36Z,126.01,126.01,126.01,126.01,0,0,1867,1101.5
2021-06-07T13:30:37Z,126.01,126.01,126.01,126.01,0,0,100,1082
2021-06-07T13:30:38Z,126.03,126.03,126.02,126.02,0,0,1033,988.65
2021-06-07T13:30:39Z,126.01,126.01,126.01,126.01,0,1,699,1013.6
2021-06-07T13:30:40Z,126.01,126.01,126,126,0,0,965,1054.35
2021-06-07T13:30:41Z,126.02,126.02,125.98,125.98,0,0,1234,1066.05
2021-06-07T13:30:42Z,125.97,125.99,125.97,125.99,0,0,1000,1088.1
2021-06-07T13:30:43Z,125.97,125.97,125.95,125.95,0,0,600,1103.1
2021-06-07T13:30:44Z,125.95,125.96,125.95,125.96,0,0,200,1014.1
2021-06-07T13:30:45Z,125.98,126.14,125.98,126.14,1,0,7295,1273.3
2021-06-07T13:30:46Z,126.13,126.15,126.13,126.13,0,0,4845,1410.85
2021-06-07T13:30:47Z,126.15,126.17,126.15,126.17,0,0,300,1365.85
2021-06-07T13:30:49Z,126.18,126.2,126.18,126.2,0,0,400,1280.55
2021-06-07T13:30:50Z,126.2,126.22,126.2,126.22,0,0,400,1191.9
