time,open,high,low,close,Shapes,Shapes,Volume,Volume MA
2021-06-09T13:35:20Z,127.17,127.17,127.15,127.15,0,0,300,364.6
2021-06-09T13:35:21Z,127.15,127.16,127.15,127.16,0,1,300,374.6
2021-06-09T13:35:23Z,127.13,127.14,127.13,127.14,0,0,300,384.6
2021-06-09T13:35:24Z,127.13,127.13,127.12,127.12,0,0,300,389.6
2021-06-09T13:35:26Z,127.16,127.17,127.16,127.17,1,0,646,385.75
2021-06-09T13:35:29Z,127.18,127.18,127.18,127.18,0,0,100,355.4
2021-06-09T13:35:31Z,127.19,127.19,127.19,127.19,0,0,100,355.4
2021-06-09T13:35:33Z,127.19,127.19,127.19,127.19,0,0,100,340.4
2021-06-09T13:35:34Z,127.19,127.2,127.19,127.2,0,0,200,340.4
2021-06-09T13:35:36Z,127.19,127.19,127.19,127.19,0,0,100,325.4
2021-06-09T13:35:37Z,127.17,127.17,127.17,127.17,0,0,200,315.4
2021-06-09T13:35:38Z,127.17,127.17,127.17,127.17,0,0,100,310.4
2021-06-09T13:35:42Z,127.19,127.2,127.19,127.2,0,0,400,320.4
2021-06-09T13:35:49Z,127.22,127.22,127.22,127.22,0,0,138,303.05
2021-06-09T13:35:51Z,127.22,127.23,127.22,127.23,0,0,200,267.4
2021-06-09T13:35:53Z,127.24,127.24,127.24,127.24,0,0,400,258.1
2021-06-09T13:35:55Z,127.26,127.26,127.26,127.26,0,0,400,249.2
2021-06-09T13:35:56Z,127.26,127.26,127.25,127.25,0,1,200,249.2
2021-06-09T13:35:58Z,127.24,127.24,127.24,127.24,0,0,500,264.2
2021-06-09T13:35:59Z,127.24,127.24,127.24,127.24,0,0,100,254.2
2021-06-09T13:36:00Z,127.24,127.26,127.24,127.26,0,0,300,254.2
2021-06-09T13:36:02Z,127.25,127.25,127.25,127.25,0,0,100,244.2
2021-06-09T13:36:03Z,127.24,127.25,127.24,127.25,0,0,328,245.6
2021-06-09T13:36:04Z,127.26,127.28,127.26,127.28,0,0,600,260.6
2021-06-09T13:36:06Z,127.3,127.3,127.3,127.3,0,0,100,233.3
2021-06-09T13:36:08Z,127.27,127.27,127.27,127.27,0,1,382,247.4
2021-06-09T13:36:10Z,127.28,127.28,127.28,127.28,1,0,100,247.4
