time,open,high,low,close,Shapes,Shapes,Volume,Volume MA
2021-06-08T13:30:00Z,126.65,126.67,126.65,126.67,0,0,661,1280.05
2021-06-08T13:30:01Z,126.685,126.73,126.685,126.71,0,0,1500,1310.05
2021-06-08T13:30:02Z,126.6,126.74,126.6,126.73,0,0,19679,2214
2021-06-08T13:30:03Z,126.74,126.75,126.73,126.74,0,0,2900,2180
2021-06-08T13:30:04Z,126.75,126.75,126.73,126.73,0,1,1400,2205
2021-06-08T13:30:05Z,126.77,126.77,126.74,126.74,0,0,600,2169.95
2021-06-08T13:30:06Z,126.72,126.77,126.72,126.77,0,0,3400,2319.95
2021-06-08T13:30:07Z,126.75,126.75,126.69,126.69,0,0,1400,2261.05
2021-06-08T13:30:08Z,126.71,126.71,126.7,126.71,0,0,700,2041.3
2021-06-08T13:30:09Z,126.71,126.71,126.64,126.65,0,0,3500,2156.3
2021-06-08T13:30:10Z,126.66,126.66,126.64,126.65,0,0,900,2171.3
2021-06-08T13:30:11Z,126.65,126.65,126.61,126.63,0,0,851,2188.85
2021-06-08T13:30:12Z,126.64,126.65,126.64,126.65,0,0,700,2178.85
2021-06-08T13:30:13Z,126.68,126.72,126.68,126.69,0,0,1800,2094.55
2021-06-08T13:30:14Z,126.7,126.71,126.7,126.71,0,0,400,2109.55
2021-06-08T13:30:16Z,126.67,126.67,126.65,126.66,0,1,600,2134.55
2021-06-08T13:30:17Z,126.66,126.66,126.65,126.65,0,0,500,2119.55
2021-06-08T13:30:18Z,126.63,126.63,126.6,126.61,0,0,1300,2154.55
2021-06-08T13:30:19Z,126.6,126.61,126.6,126.61,0,0,400,2169.55
2021-06-08T13:30:20Z,126.61,126.62,126.61,126.62,1,0,1200,2219.55
2021-06-08T13:30:21Z,126.65,126.65,126.65,126.65,0,0,300,2201.5
2021-06-08T13:30:22Z,126.61,126.62,126.61,126.62,0,1,1273,2190.15
2021-06-08T13:30:23Z,126.64,126.64,126.63,126.63,1,0,515,1231.95
2021-06-08T13:30:24Z,126.63,126.63,126.62,126.62,0,1,1100,1141.95
2021-06-08T13:30:25Z,126.65,126.66,126.65,126.66,1,0,200,1081.95
