Local time,Open,High,Low,Close,Volume
21.05.2021 09:30:00.000 GMT-0400,127.747,127.867,127.746,127.867,279999.9943999999
21.05.2021 09:30:01.000 GMT-0400,127.866,127.927,127.866,127.916,199999.99599999996
21.05.2021 09:30:02.000 GMT-0400,127.946,127.957,127.886,127.886,299999.9939999999
21.05.2021 09:30:03.000 GMT-0400,127.887,127.967,127.886,127.967,299999.9939999999
21.05.2021 09:30:04.000 GMT-0400,127.887,127.976,127.886,127.956,220459.99559999997
21.05.2021 09:30:05.000 GMT-0400,127.956,127.976,127.907,127.907,220074.99559999994
21.05.2021 09:30:06.000 GMT-0400,127.956,127.956,127.906,127.906,80149.9984
21.05.2021 09:30:07.000 GMT-0400,127.906,127.917,127.886,127.906,120224.99759999999
21.05.2021 09:30:08.000 GMT-0400,127.886,127.927,127.886,127.927,120919.9976
21.05.2021 09:30:09.000 GMT-0400,127.916,127.916,127.886,127.886,40074.9992
21.05.2021 09:30:10.000 GMT-0400,127.896,127.917,127.896,127.917,40919.99919999999
21.05.2021 09:30:11.000 GMT-0400,127.887,127.936,127.887,127.936,120609.99759999999
21.05.2021 09:30:12.000 GMT-0400,127.946,127.946,127.877,127.887,120994.9976
21.05.2021 09:30:13.000 GMT-0400,127.887,127.896,127.877,127.877,99999.99799999999
21.05.2021 09:30:14.000 GMT-0400,127.897,127.917,127.876,127.896,80609.99840000001
21.05.2021 09:30:15.000 GMT-0400,127.877,127.887,127.877,127.886,120534.9976
21.05.2021 09:30:16.000 GMT-0400,127.877,127.907,127.866,127.907,160534.9968
21.05.2021 09:30:17.000 GMT-0400,127.877,127.877,127.856,127.877,100149.99799999999
21.05.2021 09:30:18.000 GMT-0400,127.876,127.897,127.856,127.876,200149.99599999996
21.05.2021 09:30:19.000 GMT-0400,127.857,127.917,127.857,127.907,180459.99639999997
21.05.2021 09:30:20.000 GMT-0400,127.916,127.947,127.886,127.947,60149.998799999994
21.05.2021 09:30:21.000 GMT-0400,127.966,127.966,127.947,127.966,40459.9992
21.05.2021 09:30:22.000 GMT-0400,127.946,127.946,127.886,127.897,120074.9976
21.05.2021 09:30:23.000 GMT-0400,127.916,127.917,127.896,127.897,140534.99719999998
21.05.2021 09:30:24.000 GMT-0400,127.897,127.897,127.856,127.856,139999.9972
21.05.2021 09:30:25.000 GMT-0400,127.867,127.877,127.826,127.826,100609.99799999999
21.05.2021 09:30:26.000 GMT-0400,127.836,127.837,127.817,127.837,100074.99799999998
21.05.2021 09:30:27.000 GMT-0400,127.827,127.837,127.806,127.816,140074.99719999998
21.05.2021 09:30:28.000 GMT-0400,127.807,127.816,127.797,127.816,79999.9984
21.05.2021 09:30:29.000 GMT-0400,127.826,127.826,127.806,127.807,140459.99719999998
21.05.2021 09:30:30.000 GMT-0400,127.817,127.857,127.796,127.857,219999.99559999994
21.05.2021 09:30:31.000 GMT-0400,127.847,127.847,127.786,127.797,200534.99599999996
21.05.2021 09:30:32.000 GMT-0400,127.806,127.817,127.757,127.757,100459.99799999999
21.05.2021 09:30:33.000 GMT-0400,127.767,127.767,127.747,127.766,160919.99679999996
21.05.2021 09:30:34.000 GMT-0400,127.756,127.776,127.756,127.766,80609.9984
21.05.2021 09:30:35.000 GMT-0400,127.757,127.757,127.696,127.716,140459.99719999998
21.05.2021 09:30:36.000 GMT-0400,127.727,127.736,127.717,127.726,120534.99759999999
21.05.2021 09:30:37.000 GMT-0400,127.706,127.757,127.706,127.746,100919.99799999999
21.05.2021 09:30:38.000 GMT-0400,127.747,127.747,127.706,127.736,140459.99719999998
21.05.2021 09:30:39.000 GMT-0400,127.737,127.746,127.726,127.726,199999.99599999996
21.05.2021 09:30:40.000 GMT-0400,127.716,127.717,127.696,127.696,99999.99799999999
21.05.2021 09:30:41.000 GMT-0400,127.687,127.696,127.686,127.686,79999.9984
21.05.2021 09:30:42.000 GMT-0400,127.676,127.676,127.667,127.667,100459.99799999999
21.05.2021 09:30:43.000 GMT-0400,127.676,127.736,127.666,127.736,120149.99759999999
21.05.2021 09:30:44.000 GMT-0400,127.747,127.747,127.717,127.717,59999.998799999994
21.05.2021 09:30:45.000 GMT-0400,127.716,127.716,127.686,127.696,60994.9988
21.05.2021 09:30:46.000 GMT-0400,127.686,127.786,127.686,127.786,200074.99599999996
21.05.2021 09:30:47.000 GMT-0400,127.776,127.817,127.767,127.796,260074.9947999999
21.05.2021 09:30:48.000 GMT-0400,127.786,127.847,127.786,127.827,180074.99639999997
21.05.2021 09:30:49.000 GMT-0400,127.826,127.827,127.786,127.787,180609.99639999997
21.05.2021 09:30:50.000 GMT-0400,127.777,127.796,127.766,127.786,120534.9976
21.05.2021 09:30:51.000 GMT-0400,127.797,127.877,127.787,127.877,160459.9968
21.05.2021 09:30:52.000 GMT-0400,127.876,127.876,127.816,127.827,200074.99599999996
21.05.2021 09:30:53.000 GMT-0400,127.846,127.846,127.807,127.827,239999.99519999992
21.05.2021 09:30:54.000 GMT-0400,127.827,127.837,127.826,127.837,219999.99559999994
21.05.2021 09:30:55.000 GMT-0400,127.827,127.846,127.797,127.846,240074.99519999992
21.05.2021 09:30:56.000 GMT-0400,127.847,127.847,127.797,127.826,240459.99519999995
21.05.2021 09:30:57.000 GMT-0400,127.846,127.846,127.797,127.797,80074.99839999998
21.05.2021 09:30:58.000 GMT-0400,127.787,127.796,127.776,127.786,80459.9984
21.05.2021 09:30:59.000 GMT-0400,127.787,127.807,127.787,127.807,100074.99799999998
21.05.2021 09:31:00.000 GMT-0400,127.796,127.797,127.777,127.777,100459.99799999999
21.05.2021 09:31:01.000 GMT-0400,127.787,127.837,127.787,127.837,179999.99639999997
21.05.2021 09:31:03.000 GMT-0400,127.857,127.877,127.856,127.877,139999.9972
21.05.2021 09:31:04.000 GMT-0400,127.867,127.876,127.856,127.876,219999.99559999994
21.05.2021 09:31:05.000 GMT-0400,127.867,127.897,127.866,127.877,200074.99599999996
21.05.2021 09:31:06.000 GMT-0400,127.877,127.897,127.877,127.886,100074.99799999998
21.05.2021 09:31:07.000 GMT-0400,127.876,127.917,127.867,127.917,120149.99759999999
21.05.2021 09:31:08.000 GMT-0400,127.936,127.947,127.926,127.947,40609.9992
21.05.2021 09:31:09.000 GMT-0400,127.956,127.977,127.956,127.966,100074.99799999998
21.05.2021 09:31:10.000 GMT-0400,127.967,127.967,127.946,127.946,179999.99639999997
21.05.2021 09:31:11.000 GMT-0400,127.947,127.956,127.937,127.937,120459.99759999999
21.05.2021 09:31:12.000 GMT-0400,127.936,127.957,127.936,127.957,100459.99799999999
21.05.2021 09:31:13.000 GMT-0400,127.937,127.947,127.937,127.937,99999.99799999999
21.05.2021 09:31:14.000 GMT-0400,127.947,127.947,127.947,127.947,19999.9996
21.05.2021 09:31:15.000 GMT-0400,127.956,127.977,127.946,127.976,80149.9984
21.05.2021 09:31:16.000 GMT-0400,127.967,127.967,127.906,127.906,120149.99759999999
21.05.2021 09:31:17.000 GMT-0400,127.916,127.916,127.857,127.866,140919.99719999998
21.05.2021 09:31:18.000 GMT-0400,127.857,127.857,127.816,127.816,160074.9968
21.05.2021 09:31:19.000 GMT-0400,127.837,127.856,127.786,127.797,120074.9976
21.05.2021 09:31:20.000 GMT-0400,127.806,127.856,127.806,127.827,139999.9972
21.05.2021 09:31:21.000 GMT-0400,127.837,127.866,127.837,127.866,120074.9976
21.05.2021 09:31:22.000 GMT-0400,127.877,127.877,127.857,127.857,80459.9984
21.05.2021 09:31:23.000 GMT-0400,127.857,127.857,127.796,127.797,139999.9972
21.05.2021 09:31:24.000 GMT-0400,127.796,127.826,127.796,127.796,119999.99759999999
21.05.2021 09:31:25.000 GMT-0400,127.807,127.807,127.796,127.797,80919.9984
21.05.2021 09:31:26.000 GMT-0400,127.796,127.796,127.746,127.746,119999.99759999999
21.05.2021 09:31:27.000 GMT-0400,127.736,127.797,127.736,127.797,139999.9972
21.05.2021 09:31:28.000 GMT-0400,127.787,127.817,127.786,127.786,80459.9984
21.05.2021 09:31:29.000 GMT-0400,127.796,127.796,127.776,127.777,40074.9992
21.05.2021 09:31:31.000 GMT-0400,127.776,127.787,127.756,127.787,80534.9984
21.05.2021 09:31:32.000 GMT-0400,127.777,127.777,127.767,127.767,39999.9992
21.05.2021 09:31:33.000 GMT-0400,127.766,127.766,127.726,127.756,120994.9976
21.05.2021 09:31:34.000 GMT-0400,127.756,127.767,127.756,127.767,99999.99799999999
21.05.2021 09:31:35.000 GMT-0400,127.767,127.767,127.767,127.767,75
21.05.2021 09:31:36.000 GMT-0400,127.777,127.777,127.707,127.707,119999.99759999999
21.05.2021 09:31:37.000 GMT-0400,127.706,127.737,127.706,127.726,220459.99559999997
21.05.2021 09:31:38.000 GMT-0400,127.736,127.766,127.736,127.747,80074.99839999998
21.05.2021 09:31:39.000 GMT-0400,127.757,127.767,127.757,127.766,80459.9984
21.05.2021 09:31:40.000 GMT-0400,127.777,127.797,127.777,127.797,20459.999599999996
21.05.2021 09:31:41.000 GMT-0400,127.786,127.787,127.777,127.777,119999.99759999999
21.05.2021 09:31:42.000 GMT-0400,127.756,127.756,127.746,127.756,40074.9992
21.05.2021 09:31:43.000 GMT-0400,127.756,127.766,127.746,127.757,80074.99839999998
21.05.2021 09:31:44.000 GMT-0400,127.777,127.807,127.776,127.776,120459.99759999999
21.05.2021 09:31:45.000 GMT-0400,127.787,127.787,127.776,127.777,40919.99919999999
21.05.2021 09:31:46.000 GMT-0400,127.767,127.787,127.767,127.787,59999.998799999994
21.05.2021 09:31:47.000 GMT-0400,127.806,127.847,127.806,127.837,120459.99759999999
21.05.2021 09:31:48.000 GMT-0400,127.836,127.836,127.796,127.806,139999.9972
21.05.2021 09:31:49.000 GMT-0400,127.827,127.867,127.827,127.836,119999.99759999999
21.05.2021 09:31:50.000 GMT-0400,127.836,127.837,127.827,127.827,119999.99759999999
21.05.2021 09:31:51.000 GMT-0400,127.836,127.857,127.826,127.857,120459.99759999999
21.05.2021 09:31:52.000 GMT-0400,127.846,127.847,127.836,127.836,80074.99839999998
21.05.2021 09:31:53.000 GMT-0400,127.837,127.847,127.826,127.837,80459.9984
21.05.2021 09:31:55.000 GMT-0400,127.846,127.847,127.836,127.847,99999.99799999999
21.05.2021 09:31:56.000 GMT-0400,127.836,127.837,127.816,127.816,120149.99759999999
21.05.2021 09:31:58.000 GMT-0400,127.786,127.797,127.746,127.746,80609.99840000001
21.05.2021 09:31:59.000 GMT-0400,127.726,127.727,127.716,127.716,60074.998799999994
21.05.2021 09:32:00.000 GMT-0400,127.727,127.757,127.727,127.727,140919.99719999998
21.05.2021 09:32:01.000 GMT-0400,127.696,127.706,127.686,127.686,119999.99759999999
21.05.2021 09:32:02.000 GMT-0400,127.676,127.707,127.676,127.687,99999.99799999999
21.05.2021 09:32:03.000 GMT-0400,127.666,127.667,127.666,127.667,59999.998799999994
21.05.2021 09:32:04.000 GMT-0400,127.656,127.656,127.617,127.637,79999.9984
21.05.2021 09:32:05.000 GMT-0400,127.637,127.637,127.606,127.606,160459.9968
21.05.2021 09:32:06.000 GMT-0400,127.616,127.657,127.607,127.607,140534.9972
21.05.2021 09:32:07.000 GMT-0400,127.617,127.627,127.607,127.627,80459.9984
21.05.2021 09:32:08.000 GMT-0400,127.647,127.647,127.616,127.616,80074.99839999998
21.05.2021 09:32:09.000 GMT-0400,127.606,127.636,127.606,127.627,100074.99799999998
21.05.2021 09:32:10.000 GMT-0400,127.606,127.667,127.606,127.656,139999.9972
21.05.2021 09:32:11.000 GMT-0400,127.656,127.666,127.637,127.666,140074.99719999998
21.05.2021 09:32:12.000 GMT-0400,127.636,127.697,127.636,127.667,100459.99799999999
21.05.2021 09:32:13.000 GMT-0400,127.666,127.677,127.666,127.677,79999.9984
21.05.2021 09:32:14.000 GMT-0400,127.666,127.666,127.637,127.646,100459.99799999999
21.05.2021 09:32:15.000 GMT-0400,127.647,127.647,127.597,127.597,120534.9976
21.05.2021 09:32:16.000 GMT-0400,127.576,127.597,127.566,127.586,180074.99639999997
21.05.2021 09:32:17.000 GMT-0400,127.577,127.587,127.577,127.587,39999.9992
21.05.2021 09:32:18.000 GMT-0400,127.586,127.586,127.556,127.576,100459.99799999999
21.05.2021 09:32:19.000 GMT-0400,127.576,127.576,127.566,127.576,139999.9972
21.05.2021 09:32:20.000 GMT-0400,127.576,127.576,127.566,127.566,39999.9992
21.05.2021 09:32:21.000 GMT-0400,127.566,127.566,127.547,127.547,40074.9992
21.05.2021 09:32:22.000 GMT-0400,127.546,127.546,127.516,127.526,100459.99799999999
21.05.2021 09:32:23.000 GMT-0400,127.537,127.567,127.526,127.546,199999.99599999996
21.05.2021 09:32:24.000 GMT-0400,127.527,127.567,127.526,127.567,120074.9976
21.05.2021 09:32:25.000 GMT-0400,127.556,127.567,127.556,127.556,59999.998799999994
21.05.2021 09:32:26.000 GMT-0400,127.567,127.596,127.556,127.586,120459.99759999999
21.05.2021 09:32:27.000 GMT-0400,127.596,127.596,127.586,127.586,59999.998799999994
21.05.2021 09:32:28.000 GMT-0400,127.587,127.587,127.557,127.557,40459.9992
21.05.2021 09:32:29.000 GMT-0400,127.547,127.547,127.526,127.537,120074.99759999999
21.05.2021 09:32:30.000 GMT-0400,127.526,127.537,127.526,127.537,79999.9984
21.05.2021 09:32:31.000 GMT-0400,127.547,127.557,127.536,127.547,60459.9988
21.05.2021 09:32:32.000 GMT-0400,127.536,127.547,127.536,127.536,60149.998799999994
21.05.2021 09:32:33.000 GMT-0400,127.537,127.537,127.526,127.526,59999.998799999994
21.05.2021 09:32:34.000 GMT-0400,127.496,127.507,127.496,127.506,80459.9984
21.05.2021 09:32:35.000 GMT-0400,127.516,127.516,127.496,127.506,119999.99759999999
21.05.2021 09:32:36.000 GMT-0400,127.497,127.517,127.497,127.517,79999.9984
21.05.2021 09:32:37.000 GMT-0400,127.506,127.506,127.487,127.487,99999.99799999999
21.05.2021 09:32:38.000 GMT-0400,127.497,127.497,127.466,127.466,100074.99799999998
21.05.2021 09:32:39.000 GMT-0400,127.467,127.476,127.456,127.456,100534.998
21.05.2021 09:32:40.000 GMT-0400,127.466,127.466,127.447,127.447,60459.9988
21.05.2021 09:32:41.000 GMT-0400,127.456,127.476,127.447,127.476,60609.998799999994
21.05.2021 09:32:42.000 GMT-0400,127.477,127.496,127.467,127.467,120459.99759999999
21.05.2021 09:32:43.000 GMT-0400,127.466,127.477,127.456,127.456,120994.9976
21.05.2021 09:32:44.000 GMT-0400,127.467,127.467,127.406,127.416,120459.99759999999
21.05.2021 09:32:45.000 GMT-0400,127.426,127.426,127.416,127.416,40459.9992
21.05.2021 09:32:46.000 GMT-0400,127.417,127.417,127.386,127.397,220459.99559999997
21.05.2021 09:32:47.000 GMT-0400,127.406,127.406,127.386,127.387,80074.99839999998
21.05.2021 09:32:48.000 GMT-0400,127.416,127.416,127.386,127.387,159999.9968
21.05.2021 09:32:49.000 GMT-0400,127.387,127.407,127.376,127.396,99999.99799999999
21.05.2021 09:32:50.000 GMT-0400,127.387,127.387,127.366,127.376,199999.99599999996
21.05.2021 09:32:51.000 GMT-0400,127.377,127.386,127.366,127.367,99999.99799999999
21.05.2021 09:32:52.000 GMT-0400,127.376,127.376,127.366,127.366,60459.9988
21.05.2021 09:32:53.000 GMT-0400,127.377,127.377,127.377,127.377,19999.9996
21.05.2021 09:32:54.000 GMT-0400,127.377,127.377,127.367,127.367,79999.9984
21.05.2021 09:32:55.000 GMT-0400,127.367,127.387,127.356,127.356,159999.9968
21.05.2021 09:32:56.000 GMT-0400,127.357,127.376,127.346,127.376,100459.99799999999
21.05.2021 09:32:57.000 GMT-0400,127.366,127.377,127.366,127.366,100919.99799999999
21.05.2021 09:32:58.000 GMT-0400,127.366,127.386,127.356,127.366,120459.99759999999
21.05.2021 09:32:59.000 GMT-0400,127.366,127.397,127.366,127.396,140074.99719999998
21.05.2021 09:33:00.000 GMT-0400,127.407,127.427,127.407,127.417,140074.99719999998
21.05.2021 09:33:01.000 GMT-0400,127.417,127.437,127.396,127.437,239999.99519999992
21.05.2021 09:33:02.000 GMT-0400,127.437,127.467,127.406,127.406,159999.9968
21.05.2021 09:33:03.000 GMT-0400,127.376,127.396,127.347,127.356,160534.9968
21.05.2021 09:33:04.000 GMT-0400,127.367,127.406,127.347,127.366,180074.99639999997
21.05.2021 09:33:05.000 GMT-0400,127.347,127.347,127.326,127.326,159999.9968
21.05.2021 09:33:06.000 GMT-0400,127.306,127.347,127.297,127.327,160609.9968
