Local time,Open,High,Low,Close,Volume
08.06.2021 09:30:00.000 GMT-0400,126.694,126.694,126.654,126.694,179999.99639999997
08.06.2021 09:30:01.000 GMT-0400,126.713,126.733,126.704,126.704,99999.99799999999
08.06.2021 09:30:02.000 GMT-0400,126.713,126.754,126.713,126.733,179999.99639999997
08.06.2021 09:30:03.000 GMT-0400,126.744,126.764,126.743,126.764,139999.9972
08.06.2021 09:30:04.000 GMT-0400,126.754,126.763,126.743,126.763,79999.9984
08.06.2021 09:30:05.000 GMT-0400,126.764,126.783,126.753,126.753,214999.99559999994
08.06.2021 09:30:06.000 GMT-0400,126.743,126.754,126.733,126.743,167499.99659999998
08.06.2021 09:30:07.000 GMT-0400,126.784,126.784,126.723,126.723,239999.99519999992
08.06.2021 09:30:08.000 GMT-0400,126.714,126.724,126.703,126.714,174999.99639999997
08.06.2021 09:30:09.000 GMT-0400,126.724,126.724,126.643,126.663,239999.99519999992
08.06.2021 09:30:10.000 GMT-0400,126.653,126.664,126.653,126.653,167499.99659999998
08.06.2021 09:30:11.000 GMT-0400,126.654,126.664,126.614,126.644,159999.9968
08.06.2021 09:30:12.000 GMT-0400,126.663,126.684,126.643,126.684,107499.9978
08.06.2021 09:30:13.000 GMT-0400,126.684,126.724,126.683,126.704,219999.99559999994
08.06.2021 09:30:14.000 GMT-0400,126.713,126.724,126.713,126.714,139999.9972
08.06.2021 09:30:15.000 GMT-0400,126.724,126.724,126.683,126.683,147499.997
08.06.2021 09:30:16.000 GMT-0400,126.673,126.684,126.664,126.664,194999.99599999996
08.06.2021 09:30:17.000 GMT-0400,126.674,126.674,126.654,126.664,107499.9978
08.06.2021 09:30:18.000 GMT-0400,126.643,126.643,126.604,126.604,139999.9972
08.06.2021 09:30:19.000 GMT-0400,126.603,126.624,126.603,126.623,127499.99740000001
08.06.2021 09:30:20.000 GMT-0400,126.614,126.633,126.613,126.633,187499.99619999997
08.06.2021 09:30:21.000 GMT-0400,126.634,126.663,126.634,126.643,107499.9978
08.06.2021 09:30:22.000 GMT-0400,126.633,126.633,126.613,126.623,79999.9984
08.06.2021 09:30:23.000 GMT-0400,126.633,126.653,126.633,126.633,107499.9978
08.06.2021 09:30:24.000 GMT-0400,126.603,126.643,126.603,126.643,119999.99759999999
08.06.2021 09:30:25.000 GMT-0400,126.644,126.664,126.644,126.664,139999.9972
08.06.2021 09:30:26.000 GMT-0400,126.684,126.694,126.664,126.694,202499.99579999995
08.06.2021 09:30:27.000 GMT-0400,126.684,126.684,126.663,126.663,114999.9976
08.06.2021 09:30:28.000 GMT-0400,126.663,126.674,126.654,126.663,87499.9982
08.06.2021 09:30:29.000 GMT-0400,126.663,126.664,126.633,126.654,179999.99639999997
08.06.2021 09:30:30.000 GMT-0400,126.644,126.644,126.614,126.623,139999.9972
08.06.2021 09:30:31.000 GMT-0400,126.633,126.643,126.633,126.633,107499.9978
08.06.2021 09:30:32.000 GMT-0400,126.623,126.644,126.623,126.634,159999.9968
08.06.2021 09:30:33.000 GMT-0400,126.634,126.653,126.623,126.623,119999.99759999999
08.06.2021 09:30:34.000 GMT-0400,126.623,126.624,126.594,126.613,187499.99619999997
08.06.2021 09:30:35.000 GMT-0400,126.614,126.633,126.603,126.633,187499.99619999997
08.06.2021 09:30:36.000 GMT-0400,126.634,126.634,126.623,126.624,179999.99639999997
08.06.2021 09:30:37.000 GMT-0400,126.633,126.634,126.623,126.623,159999.9968
08.06.2021 09:30:38.000 GMT-0400,126.624,126.624,126.623,126.623,139999.9972
08.06.2021 09:30:39.000 GMT-0400,126.623,126.623,126.603,126.603,119999.99759999999
08.06.2021 09:30:40.000 GMT-0400,126.604,126.613,126.593,126.593,179999.99639999997
08.06.2021 09:30:41.000 GMT-0400,126.604,126.633,126.604,126.633,39999.9992
08.06.2021 09:30:42.000 GMT-0400,126.634,126.634,126.614,126.614,139999.9972
08.06.2021 09:30:43.000 GMT-0400,126.624,126.654,126.594,126.654,219999.99559999994
08.06.2021 09:30:44.000 GMT-0400,126.643,126.643,126.613,126.613,147499.997
08.06.2021 09:30:45.000 GMT-0400,126.603,126.634,126.603,126.614,147499.997
08.06.2021 09:30:46.000 GMT-0400,126.613,126.633,126.603,126.633,159999.9968
08.06.2021 09:30:47.000 GMT-0400,126.624,126.634,126.603,126.603,127499.99740000001
08.06.2021 09:30:48.000 GMT-0400,126.603,126.634,126.603,126.623,179999.99639999997
08.06.2021 09:30:49.000 GMT-0400,126.613,126.613,126.613,126.613,99999.99799999999
08.06.2021 09:30:50.000 GMT-0400,126.643,126.643,126.624,126.634,99999.99799999999
08.06.2021 09:30:51.000 GMT-0400,126.633,126.633,126.603,126.604,147499.997
08.06.2021 09:30:52.000 GMT-0400,126.614,126.643,126.604,126.633,179999.99639999997
08.06.2021 09:30:53.000 GMT-0400,126.643,126.644,126.623,126.633,199999.99599999996
08.06.2021 09:30:54.000 GMT-0400,126.613,126.664,126.613,126.644,179999.99639999997
08.06.2021 09:30:55.000 GMT-0400,126.644,126.644,126.633,126.643,59999.998799999994
08.06.2021 09:30:56.000 GMT-0400,126.644,126.654,126.643,126.644,119999.99759999999
08.06.2021 09:30:57.000 GMT-0400,126.644,126.674,126.644,126.664,107499.9978
08.06.2021 09:30:58.000 GMT-0400,126.673,126.673,126.663,126.663,39999.9992
08.06.2021 09:30:59.000 GMT-0400,126.673,126.684,126.663,126.663,107499.9978
08.06.2021 09:31:00.000 GMT-0400,126.673,126.674,126.663,126.663,134999.9972
08.06.2021 09:31:01.000 GMT-0400,126.673,126.674,126.663,126.663,127499.99739999998
08.06.2021 09:31:02.000 GMT-0400,126.653,126.654,126.644,126.644,47499.999
08.06.2021 09:31:03.000 GMT-0400,126.634,126.634,126.613,126.613,87499.9982
08.06.2021 09:31:04.000 GMT-0400,126.624,126.624,126.603,126.613,59999.998799999994
08.06.2021 09:31:05.000 GMT-0400,126.593,126.594,126.574,126.594,159999.9968
08.06.2021 09:31:06.000 GMT-0400,126.603,126.623,126.603,126.623,59999.998799999994
08.06.2021 09:31:07.000 GMT-0400,126.604,126.614,126.603,126.614,47499.999
08.06.2021 09:31:08.000 GMT-0400,126.593,126.594,126.593,126.594,39999.9992
08.06.2021 09:31:09.000 GMT-0400,126.594,126.604,126.594,126.603,79999.9984
08.06.2021 09:31:10.000 GMT-0400,126.593,126.594,126.583,126.583,99999.99799999999
08.06.2021 09:31:11.000 GMT-0400,126.593,126.593,126.564,126.564,54999.9988
08.06.2021 09:31:12.000 GMT-0400,126.553,126.554,126.543,126.553,167499.99659999998
08.06.2021 09:31:13.000 GMT-0400,126.544,126.553,126.533,126.534,107499.9978
08.06.2021 09:31:14.000 GMT-0400,126.524,126.554,126.524,126.534,147499.997
08.06.2021 09:31:15.000 GMT-0400,126.524,126.524,126.513,126.514,99999.99799999999
08.06.2021 09:31:16.000 GMT-0400,126.503,126.503,126.494,126.503,99999.99799999999
08.06.2021 09:31:17.000 GMT-0400,126.504,126.504,126.493,126.503,99999.99799999999
08.06.2021 09:31:18.000 GMT-0400,126.534,126.553,126.534,126.534,99999.99799999999
08.06.2021 09:31:19.000 GMT-0400,126.534,126.534,126.503,126.503,127499.99740000001
08.06.2021 09:31:20.000 GMT-0400,126.514,126.514,126.513,126.514,59999.998799999994
08.06.2021 09:31:21.000 GMT-0400,126.503,126.503,126.473,126.473,114999.9976
08.06.2021 09:31:22.000 GMT-0400,126.474,126.503,126.474,126.493,119999.99759999999
08.06.2021 09:31:23.000 GMT-0400,126.484,126.503,126.463,126.503,167499.99659999998
