Local time,Open,High,Low,Close,Volume
13.05.2021 09:30:00.000 GMT-0400,124.517,124.646,124.516,124.646,219999.99559999994
13.05.2021 09:30:01.000 GMT-0400,124.657,124.767,124.657,124.706,220534.99559999994
13.05.2021 09:30:02.000 GMT-0400,124.726,124.726,124.636,124.637,160074.9968
13.05.2021 09:30:03.000 GMT-0400,124.637,124.677,124.596,124.677,199999.99599999996
13.05.2021 09:30:04.000 GMT-0400,124.666,124.707,124.636,124.637,219999.99559999994
13.05.2021 09:30:05.000 GMT-0400,124.626,124.626,124.536,124.537,239999.99519999992
13.05.2021 09:30:06.000 GMT-0400,124.517,124.526,124.467,124.506,159999.9968
13.05.2021 09:30:07.000 GMT-0400,124.506,124.527,124.476,124.477,180074.99639999997
13.05.2021 09:30:08.000 GMT-0400,124.507,124.536,124.466,124.477,120609.99759999999
13.05.2021 09:30:09.000 GMT-0400,124.496,124.497,124.427,124.427,120534.9976
13.05.2021 09:30:10.000 GMT-0400,124.427,124.466,124.416,124.466,120534.9976
13.05.2021 09:30:11.000 GMT-0400,124.456,124.456,124.416,124.416,161454.99679999996
13.05.2021 09:30:12.000 GMT-0400,124.447,124.527,124.447,124.527,159999.9968
13.05.2021 09:30:13.000 GMT-0400,124.537,124.567,124.536,124.567,80149.9984
13.05.2021 09:30:14.000 GMT-0400,124.557,124.557,124.526,124.526,160459.9968
13.05.2021 09:30:15.000 GMT-0400,124.537,124.537,124.487,124.497,119999.99759999999
13.05.2021 09:30:16.000 GMT-0400,124.487,124.507,124.486,124.507,100459.99799999999
13.05.2021 09:30:17.000 GMT-0400,124.506,124.507,124.437,124.447,140994.9972
13.05.2021 09:30:18.000 GMT-0400,124.446,124.477,124.446,124.477,80534.99839999998
13.05.2021 09:30:19.000 GMT-0400,124.476,124.497,124.436,124.497,120459.99759999999
13.05.2021 09:30:20.000 GMT-0400,124.507,124.556,124.507,124.536,140534.99719999998
13.05.2021 09:30:21.000 GMT-0400,124.537,124.566,124.527,124.557,100534.99799999999
13.05.2021 09:30:22.000 GMT-0400,124.556,124.577,124.556,124.566,160919.99679999996
